title,normal_price,label,image_url
Adinata Memo Spiral Assorted,Rp 24.500,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20126042/20126042_thumb.jpg
Adinata Note Book Character B6 Assorted,Rp 35.300,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20029278/20029278_thumb.jpg
Adinata Pencil Case Paper Assorted,Rp 33.900,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20014590/20014590_thumb.jpg
Adinata Penggaris Character 30Cm,Rp 18.900,home-living-stationery--special-items,https://assets.klikindomaret.com/products/10014129/10014129_thumb.jpg
Adinata Stationary Character 7'S,Rp 38.900,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20012674/20012674_thumb.jpg
Agatis Eco School Set,Rp 44.900,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20129822/20129822_thumb.jpg
Dadi Pvc Pencase + Stat,Rp 33.900,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20032859/20032859_thumb.jpg
Faber Castell Paket Umptn,Rp 27.800,home-living-stationery--special-items,https://assets.klikindomaret.com/products/10024555/10024555_thumb.jpg
Faber Castell Pencil 2B,Rp 13.100,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20035832/20035832_thumb.jpg
Faber Castell Pencil Warna 12'S Water Color,Rp 43.300,home-living-stationery--special-items,https://assets.klikindomaret.com/products/10010596/10010596_thumb.jpg
Faster Ballpoint C6 3'S Hitam,Rp 16.700,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20035983/20035983_thumb.jpg
Faster Ballpoint C-600/F3 3'S Hitam,Rp 16.700,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20018825/20018825_thumb.jpg
Fuxing Notebook,Rp 27.800,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20018354/20018354_thumb.jpg
Indomaret Amplop Coklat (10'S),Rp 10.900,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20056641/20056641_thumb.jpg
Indomaret Amplop Coklat 304 (10'S),Rp 10.600,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20056640/20056640_thumb.jpg
Indomaret Amplop Polos 20'S No.104,Rp 8.000,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20042672/20042672_thumb.jpg
Indomaret Amplop Polos No.90 (25'S),Rp 10.000,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20056644/20056644_thumb.jpg
Indomaret Amplop Visit Polos No.80 (25'S),Rp 8.000,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20056643/20056643_thumb.jpg
Indomaret Amplop Warna 8's 90X170mm,Rp 9.900,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20056978/20056978_thumb.jpg
Indomaret Ballpoint 2'S Biru,Rp 8.600,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20040283/20040283_thumb.jpg
Indomaret Ballpoint Isi 3 Hitam,Rp 13.100,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20077503/20077503_thumb.jpg
Indomaret Cutter Sistem Putar,Rp 14.100,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20039153/20039153_thumb.jpg
Indomaret Double Tape 1/2Inx12yr 12Mmx11m Rol,Rp 5.000,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20074315/20074315_thumb.jpg
Indomaret Gunting Sedang,Rp 16.700,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20039152/20039152_thumb.jpg
Indomaret Lakban Bening 2Inx70yr 48Mmx64m Rol,Rp 13.500,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20074312/20074312_thumb.jpg
Indomaret Lakban Coklat 2Inx70yr 48Mmx64m Rol,Rp 13.500,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20074313/20074313_thumb.jpg
Indomaret Loose Leaf A5 100'S,Rp 10.600,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20043876/20043876_thumb.jpg
Indomaret Note Book A5 75'S,Rp 25.300,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20069856/20069856_thumb.jpg
Indomaret Note Book A6 75'S,Rp 14.100,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20069857/20069857_thumb.jpg
Indomaret Stationery Tape 1Inx72yr 24Mmx66m Rol,Rp 8.000,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20074314/20074314_thumb.jpg
Joyko Twist Crayon 12 Warna TWCR-12S,Rp 47.900,home-living-stationery--special-items,https://assets.klikindomaret.com/products/20122425/20122425_thumb.jpg
Kartu Domino,Rp 9.000,home-living-stationery--special-items,https://assets.klikindomaret.com/products/10003939/10003939_thumb.jpg
Kartu Remi,Rp 11.000,home-living-stationery--special-items,https://assets.klikindomaret.com/products/10035016/10035016_thumb.jpg
