title,normal_price,label,image_url
Zwitsal Eau De Toilette 100mL,51%,kecantikan-body-care,https://assets.klikindomaret.com/products/20108986/20108986_thumb.jpg
Bizzare Eau De Toilette Sunset Lovers 50mL,45%,kecantikan-body-care,https://assets.klikindomaret.com/products/20133616/20133616_thumb.jpg
Kao Biore Body Foam Deo Protect Tawas & Minyak Zaitun 400mL,43%,kecantikan-body-care,https://assets.klikindomaret.com/products/20133508/20133508_thumb.jpg
Citra Body Lotion Natural Glowing White Uv 230mL,43%,kecantikan-body-care,https://assets.klikindomaret.com/products/20090543/20090543_thumb.jpg
Citra Body Lotion Pearly White Uv 210mL,43%,kecantikan-body-care,https://assets.klikindomaret.com/products/20090554/20090554_thumb.jpg
K Natural White Brightening + Antibacterial Body Wash Jeju Lemon 400mL,39%,kecantikan-body-care,https://assets.klikindomaret.com/products/20129838/20129838_thumb.jpg
K Natural White Brightening Body Wash Cotton Flowers 400mL,39%,kecantikan-body-care,https://assets.klikindomaret.com/products/20112622/20112622_thumb.jpg
K Natural White Brightening Body Wash Sparkling Magnolia 400mL,39%,kecantikan-body-care,https://assets.klikindomaret.com/products/20120923/20120923_thumb.jpg
Pro Guard Antibacterial Body Wash Skin Relief 410mL,39%,kecantikan-body-care,https://assets.klikindomaret.com/products/20121015/20121015_thumb.jpg
Lifebuoy 3 In 1 Anti Bacterial 450mL,37%,kecantikan-body-care,https://assets.klikindomaret.com/products/20123524/20123524_thumb.jpg
Lifebuoy Sabun Mandi Cair Refill Japanese Shiso & Mineral Clay 400mL,37%,kecantikan-body-care,https://assets.klikindomaret.com/products/20115145/20115145_thumb.jpg
Lifebuoy Sabun Mandi Cair Refill Yoghurt Care 400mL,37%,kecantikan-body-care,https://assets.klikindomaret.com/products/20105340/20105340_thumb.jpg
Lux Body Wash Hijab Lavender & Chamomile 400mL,37%,kecantikan-body-care,https://assets.klikindomaret.com/products/20135314/20135314_thumb.jpg
Lux Body Wash Hijab Zaitun & Madu 400mL,37%,kecantikan-body-care,https://assets.klikindomaret.com/products/20122042/20122042_thumb.jpg
Na'eem Moisturizing Body Wash Taifi Rose 400mL,37%,kecantikan-body-care,https://assets.klikindomaret.com/products/20127481/20127481_thumb.jpg
Fresh Living Minyak Zaitun 50mL,36%,kecantikan-body-care,https://assets.klikindomaret.com/products/20122923/20122923_thumb.jpg
Glow & Lovely Body Wash Multivitamin + Aha Bha 400mL,36%,kecantikan-body-care,https://assets.klikindomaret.com/products/20135809/20135809_thumb.webp
Glow & Lovely Body Wash Multivitamin Niacinamide 400mL,36%,kecantikan-body-care,https://assets.klikindomaret.com/products/20128060/20128060_thumb.jpg
Dettol Body Wash Anti Bakteri Cool 800G,36%,kecantikan-body-care,https://assets.klikindomaret.com/products/20095150/20095150_thumb.jpg
Nuvo Sabun Kesehatan Cair Classic 825mL,35%,kecantikan-body-care,https://assets.klikindomaret.com/products/20120877/20120877_thumb.jpg
Nuvo Sabun Kesehatan Cair Mild Protect 825mL,35%,kecantikan-body-care,https://assets.klikindomaret.com/products/20120919/20120919_thumb.jpg
Fres & Natural Bt21 Body Wash Love Yourself 400mL,35%,kecantikan-body-care,https://assets.klikindomaret.com/products/20134809/20134809_thumb.jpg
