title,normal_price,label,image_url
Poise Luminous White Brightening Cream SPF 36++++ 20g,69%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20095010/20095010_thumb.jpg
Rojukiss Pinkish Bright Serum Jeju Lotus 8Ml,55%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117151/20117151_thumb.jpg
Rojukiss Pro Acne Serum Tea Tree Bija 8Ml,55%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117153/20117153_thumb.jpg
Carasun Solar Smart Uv Protection 8Ml,50%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117775/20117775_thumb.jpg
Himalaya Brightening Face Wash Herbals Clear Complex 100mL,50%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20049969/20049969_thumb.jpg
Garnier Bright Complete Super Whip Vitamin C 100mL,43%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20122033/20122033_thumb.webp
Garnier Sakura Glow Hyaluron Super Whip 100mL,43%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20098268/20098268_thumb.webp
Garnier Skin Naturals Bright Cmplete Cleansing Foam Anti-Acne 100mL,43%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20124287/20124287_thumb.webp
Purbasari Matte Powder Hydra Series Honey Beige 12g,41%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20085011/20085011_thumb.jpg
Purbasari Matte Powder Hydra Series Natural 12g,41%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20085012/20085012_thumb.jpg
Azzura Compact Powder 01 Light Beige 14g,40%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117192/20117192_thumb.jpg
Azzura Compact Powder 02 Natural 14g,40%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117193/20117193_thumb.jpg
Azzura Compact Powder 03 Ivory 14g,40%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117194/20117194_thumb.jpg
Azzura Long Lasting Lipstick 02 Pink Blossom 3g,40%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117209/20117209_thumb.jpg
Azzura Long Lasting Lipstick 07 Red Burgundy 3g,40%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117214/20117214_thumb.jpg
Azzura Long Lasting Lipstick 08 Wild Berryice 3g,40%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117215/20117215_thumb.jpg
Azzura Loose Powder 03 Ivory 30g,40%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117198/20117198_thumb.jpg
Azzura Luminous Cushion 01 Light Beige 15g,40%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117188/20117188_thumb.jpg
Azzura Luminous Cushion 02 Natural 15g,40%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117189/20117189_thumb.jpg
Azzura Luminous Cushion 03 Medium Beige 15g,40%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117190/20117190_thumb.jpg
Azzura Luminous Cushion 04 Beige 15g,40%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117191/20117191_thumb.jpg
Azzura Matte Lipcream 02 Peach Secret 4g,40%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117200/20117200_thumb.jpg
Azzura Matte Lipcream 03 Rose Wood 4g,40%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117201/20117201_thumb.jpg
Azzura Matte Lipcream 07 Red Poppy 4g,40%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117205/20117205_thumb.jpg
Azzura Two Way Cake 03 Ivory 12g,40%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117186/20117186_thumb.jpg
Garnier Bright Complete Vit C Facial Wash Scrub 100mL,40%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20040194/20040194_thumb.webp
Safi Ultimate Bright Purify Cleanser 100G,40%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20097103/20097103_thumb.jpg
Garnier Bright Complete Vit C Facial Wash 100mL,39%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20025002/20025002_thumb.webp
Garnier Sakura Glow Hyaluron Face Wash 100mL,39%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20052782/20052782_thumb.webp
Clean & Clear Foaming Facial Wash 100Ml,38%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20008420/20008420_thumb.jpg
Clean & Clear Vitamin C Face Wash 100mL,38%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20135695/20135695_thumb.jpg
Garnier Bright Complete Water Gel Vitamin C 20mL,37%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20134899/20134899_thumb.jpg
Garnier Sakura Glow Water Gel Ceramide 20mL,37%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20134900/20134900_thumb.jpg
Garnier Light/Bright Complete Vitamin C Serum Cream Uv 20Ml,33%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20057702/20057702_thumb.webp
Poise Facial Foam Whitening 100G,33%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20092317/20092317_thumb.jpg
Garnier Bright Complete Vitamin C Serum Cream SPF36 Pa+++ 20mL,30%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20088537/20088537_thumb.webp
Garnier Light/Bright Complete Night Cream Yoghurt Sl Mask 20Ml,30%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20076746/20076746_thumb.webp
Himalaya Face Wash Herbals Purifying Neem 100mL,30%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20049968/20049968_thumb.jpg
Rojukiss Pro Acne Serum Cleanser Tea Tree Bija 100mL,28%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20124718/20124718_thumb.jpg
Garnier Skin Nat.Sakura Glow Serum Cream Spf30 20Ml,27%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20090447/20090447_thumb.webp
Shinzu'i Facial Wash Skin Lightening 80Ml,25%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20079010/20079010_thumb.jpg
Acnes Creamy Wash 100G,22%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20021810/20021810_thumb.jpg
Acnes Face Wash Complete White 100G,22%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20056357/20056357_thumb.jpg
Glow & Lovely Bright C Glow Facial Foam Vitamin C 100g,22%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20110117/20110117_thumb.jpg
Glow & Lovely Multivitamin Facial Foam Derma Glow 100g,22%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20067449/20067449_thumb.jpg
Wardah Perfect Bright Moisturizer Bright + Oil Control SPF 30 Pa+++ 20mL,21%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20061707/20061707_thumb.jpg
Garnier Bright Complete Serum Cleanser Vitamin C 100mL,21%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20136511/20136511_thumb.webp
Emina Sun Battle Spf 30 Pa+++ Bright Glow 50mL,19%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20096136/20096136_thumb.webp
Wardah Perfect Bright Creamy Foam Bright + Oil Control 100mL,19%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20090023/20090023_thumb.jpg
Wardah Perfect Bright Creamy Foam Bright + Smooth Glow 100mL,19%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20090022/20090022_thumb.jpg
Emina Bright Stuff Loose Powder 55G,18%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20104076/20104076_thumb.jpg
Sari Ayu Facial Foam Putih Langsat 75G,17%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20011060/20011060_thumb.jpg
Emina Bright Stuff Tone Up Cream 20Ml,16%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20098761/20098761_thumb.jpg
Emina Bright Stuff Face Wash 100mL,16%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20130082/20130082_thumb.jpg
Emina Sun Battle Spf 50 Pa++++  Cica Acne Fighter 20mL,16%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20134803/20134803_thumb.jpg
Emina Watercolor Lip Serum 01-Dawn 2G,16%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20130307/20130307_thumb.jpg
Emina Watercolor Lip Serum 02-Mist Pcs 2G,16%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20130309/20130309_thumb.jpg
Sari Ayu Facial Foam Anti Acne 75G,15%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20029636/20029636_thumb.jpg
Wardah Uv Shield Acne Calming Sunscreen Spf 35 Pa+++ 35mL,15%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20134797/20134797_thumb.jpg
Wardah Uv Shield Essent Sunscreen Gel Spf 35 Pa+++ 40mL,15%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20110001/20110001_thumb.jpg
Azzura Long Lasting Lipstick 01 Amazing Nude 3g,15%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117208/20117208_thumb.jpg
Azzura Long Lasting Lipstick 04 Fuchsia Blush 3g,15%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117211/20117211_thumb.jpg
Azzura Long Lasting Lipstick 05 Passion Pink 3g,15%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117212/20117212_thumb.jpg
Azzura Loose Powder 01 Light Beige 30g,15%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117196/20117196_thumb.jpg
Azzura Loose Powder 02 Natural 30g,15%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117197/20117197_thumb.jpg
Azzura Matte Lipcream 01 Dusty Pink 4g,15%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117199/20117199_thumb.jpg
Azzura Matte Lipcream 06 Sweet Brownie 4g,15%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117204/20117204_thumb.jpg
Azzura Two Way Cake 01 Light Beige 12g,15%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117182/20117182_thumb.jpg
Azzura Two Way Cake 02 Natural 12g,15%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20117185/20117185_thumb.jpg
Carasun Solar Smart Uv Light Sunscreen Spf 50 Pa++++ 30G,15%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20135594/20135594_thumb.jpg
Carasun Solar Smart Uv Protector Spf 45 Pa++++ 30mL,15%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20133326/20133326_thumb.jpg
Kahf Sunscreen Moisturizer SPF 30 Pa+++ 30mL,15%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20120927/20120927_thumb.jpg
Selection Round Kapas 80'S,14%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20099791/20099791_thumb.jpg
Derma Angel Acne Patch Day 6'S,12%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20094416/20094416_thumb.jpg
Derma Angel Acne Patch Night 6'S,11%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20094417/20094417_thumb.jpg
Glad2glow 5% Ceramide Moisturizer Blueberry 30G,10%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20132715/20132715_thumb.jpg
Glad2glow Centella Allantoin Soothing Gel Moisturizer 55G,10%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20133297/20133297_thumb.jpg
Glad2glow Ceramide Low Ph Gel Cleanser Blueberry 70mL,10%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20134060/20134060_thumb.jpg
Glad2glow Micellar Water Cherry Blossom 130mL,10%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20134946/20134946_thumb.jpg
Glad2glow Mugwort Salicylic Acid Acne Clay Stick 25G,10%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20133290/20133290_thumb.jpg
Glad2glow Pomegranate 5% Niacinamide Brightening Moisturizer 30G,10%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20133309/20133309_thumb.jpg
Glad2glow Retinol Moisturizer Peach 30G,10%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20135851/20135851_thumb.webp
Glad2glow Salicylic Acid Acne Gel Cleanser Centella 70mL,10%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20136004/20136004_thumb.jpg
Kojiesan Face Lightening Cream 30G,10%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20083932/20083932_thumb.jpg
Kye Acne Patch Day/Night 36's Tea Tree Oil,10%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20133514/20133514_thumb.jpg
Skintific 360 Crystal Massager Lifting Eye Cream 20G,10%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20133092/20133092_thumb.jpg
Skintific Acid Advanced Bright Serum 3% Tranexamic 20mL,10%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20133099/20133099_thumb.jpg
Skintific Acne Calming Toner Pure Centella 80mL,10%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20133100/20133100_thumb.jpg
Skintific Acne Calming Water Gel 5% Panthenol 45G,10%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20133110/20133110_thumb.jpg
Skintific All Day Light Sunscreen Mist Spf 50 Pa++++ 120mL,10%,kecantikan-cosmetic,https://assets.klikindomaret.com/products/20133075/20133075_thumb.jpg
