title,normal_price,label,image_url
Pepsodent Pasta Gigi Sensitive Expert Original 100G,50%,kecantikan-perawatan-diri,https://assets.klikindomaret.com/products/20035686/20035686_thumb.jpg
Pepsodent Pasta Gigi Sensitive Expert Whitening 100G,50%,kecantikan-perawatan-diri,https://assets.klikindomaret.com/products/20042961/20042961_thumb.jpg
Pepsodent Sensitive Expert Pasta Gigi Fresh 100G,50%,kecantikan-perawatan-diri,https://assets.klikindomaret.com/products/20046953/20046953_thumb.jpg
Pepsodent Sikat Gigi Double Care Sensitive Single,38%,kecantikan-perawatan-diri,https://assets.klikindomaret.com/products/10026612/10026612_thumb.jpg
Softex Pembalut Daun Sirih 8'S Slim Wing 42Cm,37%,kecantikan-perawatan-diri,https://assets.klikindomaret.com/products/20130848/20130848_thumb.jpg
Formula Pasta Gigi Action Protect Family 160G,36%,kecantikan-perawatan-diri,https://assets.klikindomaret.com/products/10016785/10016785_thumb.jpg
Charm Pembalut Safe Night 14'S Wing 42Cm,35%,kecantikan-perawatan-diri,https://assets.klikindomaret.com/products/20136041/20136041_thumb.jpg
Close Up Pasta Gigi Gel Green Ever Fresh 160G,35%,kecantikan-perawatan-diri,https://assets.klikindomaret.com/products/10003569/10003569_thumb.jpg
Charm Pembalut Extra Comfort 18S Maxi Wing 23Cm,34%,kecantikan-perawatan-diri,https://assets.klikindomaret.com/products/20090167/20090167_thumb.jpg
Oral B Essential Floss Waxed Mint 50m,34%,kecantikan-perawatan-diri,https://assets.klikindomaret.com/products/10037889/10037889_thumb.jpg
Charm Pembalut Safe Night 11's Gathers Wing 35Cm,34%,kecantikan-perawatan-diri,https://assets.klikindomaret.com/products/10032895/10032895_thumb.jpg
Charm Sleep Protect Panties M-L 2'S,33%,kecantikan-perawatan-diri,https://assets.klikindomaret.com/products/20115364/20115364_thumb.jpg
Charm Safe Night Panties 2'S Sleep Protect L-Xl,33%,kecantikan-perawatan-diri,https://assets.klikindomaret.com/products/20133707/20133707_thumb.jpg
Charm Pembalut Safe Night 7'S Wing 42cm,32%,kecantikan-perawatan-diri,https://assets.klikindomaret.com/products/20017043/20017043_thumb.jpg
Charm Pembalut Extra Comfort 16'S Maxi Wing 26Cm,32%,kecantikan-perawatan-diri,https://assets.klikindomaret.com/products/20076572/20076572_thumb.jpg
