title,normal_price,label,image_url
Multi Facial Tissue Mp-01 250'S Non Parfumed,18%,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/10038692/10038692_thumb.jpg
Indomaret Hand Soap Camomile 375Ml,14%,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20004027/20004027_thumb.jpg
Indomaret Hand Soap Strawberry 375Ml,14%,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20001404/20001404_thumb.jpg
Multi Facial Tissue Mp-04 Non Perfumed 600G,12%,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20028457/20028457_thumb.jpg
Antis Pembersih Tangan Antiseptik Spray Jasmine Tea 55Ml,Rp 15.400,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20100033/20100033_thumb.jpg
Antis Pembersih Tangan Antiseptik Spray Jeruk Nipis 55Ml,Rp 15.400,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20040153/20040153_thumb.jpg
Betadine Skin Care Antiseptic 100ml,Rp 50.000,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20083370/20083370_thumb.jpg
Dettol Antiseptic Liquid Germicide 750mL,Rp 190.000,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20029293/20029293_thumb.webp
Dettol Antiseptic Wet Wipes 10'S,Rp 14.800,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20044874/20044874_thumb.webp
Fresh A Hand Soap Anti Bacterial 250Ml,Rp 14.000,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20104149/20104149_thumb.jpg
Indomaret Facial Tissue 220'S Non Perfumed,Rp 14.000,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20027166/20027166_thumb.jpg
Indomaret Facial Tissue Non Perfumed 400G,Rp 25.500,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20027167/20027167_thumb.jpg
Indomaret Facial Tissue Non Perfumed 900G,Rp 40.900,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20048847/20048847_thumb.jpg
Indomaret Facial Tissue Pop Up 200'S Non Perfumed,Rp 6.000,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20103297/20103297_thumb.jpg
Indomaret Facial Tissue Premium 100'S,Rp 9.900,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20114021/20114021_thumb.jpg
Indomaret Hand Sanitizer Spray 100Ml,Rp 11.600,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20109499/20109499_thumb.jpg
Indomaret Hand Soap Pump Camomile Extracts 500Ml,Rp 18.000,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20049387/20049387_thumb.jpg
Indomaret Serbet Serbaguna 26'S,Rp 35.300,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20094211/20094211_thumb.jpg
Indomaret Tissue Dapur/Handuk 150'S,Rp 13.400,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20045887/20045887_thumb.jpg
Indomaret Tissue Pengesat Natural 150'S 2 Ply,Rp 21.200,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20098520/20098520_thumb.jpg
Indomaret Tissue Roll 2 Ply (6'S) Non Embossed,Rp 20.100,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20044698/20044698_thumb.jpg
Indomaret Travel Pack Tissue 50'S,Rp 5.900,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20035998/20035998_thumb.jpg
Indomaret Wet Tissue 10'S Non Alcohol,Rp 4.800,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20029296/20029296_thumb.jpg
Indomaret Wet Tissue 50'S Non Alcohol,Rp 14.100,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20046211/20046211_thumb.jpg
Indomaret Wet Tissue Baby 50'S Non Alcohol,Rp 11.600,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20076451/20076451_thumb.jpg
Lifebuoy Antibacterial Handwash Total 10 200Ml,Rp 20.900,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20103617/20103617_thumb.jpg
Nice Facial Tissue Beli 1 Gratis 1 Softpack 2 Ply 2X200's,Rp 22.500,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/10014168/10014168_thumb.jpg
Nice Facial Tissue Genuine 900G,Rp 45.400,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/10038967/10038967_thumb.jpg
Paseo Facial Tissue Pure Soft 3Ply 130'S,Rp 20.500,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20063288/20063288_thumb.jpg
Paseo Facial Tissue Soft Pack 250'S,Rp 20.300,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/10005468/10005468_thumb.webp
Paseo Kitchen Towel Tissue 70'S,Rp 15.200,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20049293/20049293_thumb.jpg
Paseo Smart Facial Tissue Soft 540/720Ply,Rp 19.200,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20034036/20034036_thumb.webp
Paseo Wet Tissue Beli 1 Gratis 1 2X25's,Rp 10.400,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20105673/20105673_thumb.jpg
Saniter Personal Sanitizer Wipes 50'S,Rp 9.500,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20107988/20107988_thumb.jpg
Tessa Facial Tissue Reffil Looney Tunes 50'S,Rp 7.500,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20006422/20006422_thumb.jpg
Tessa Facial Tissue Tp-02/260'S,Rp 21.300,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20026897/20026897_thumb.jpg
Wetz Natural Wet Wipes 10'S Green Tea,Rp 6.800,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20027185/20027185_thumb.jpg
Wetz Natural Wet Wipes 30'S Green Tea,Rp 17.700,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20027186/20027186_thumb.jpg
Bigroot Disinfectant Spray 300mL,Rp 58.200,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20117818/20117818_thumb.jpg
Care Plus Septa Air Spray 100Ml,Rp 20.500,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20113570/20113570_thumb.jpg
Lavme Disinfectant Spray Original 250Ml,Rp 69.700,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20110144/20110144_thumb.jpg
Nice Facial Tissue 250'S Non Perfumed,Rp 15.900,kesehatan-antiseptik--sanitasi,https://assets.klikindomaret.com/products/20020128/20020128_thumb.jpg
