title,normal_price,label,image_url
Fit-U-Mask Masker Surgical Hijab 5'S 3Ply,Rp 7.500,kesehatan-masker,https://assets.klikindomaret.com/products/20104447/20104447_thumb.jpg
Fit-U-Mask Surgical Mask Kn95 2'S White,Rp 14.900,kesehatan-masker,https://assets.klikindomaret.com/products/20115487/20115487_thumb.jpg
Indomaret Masker 3Ply Earlop 5+2'S,Rp 7.500,kesehatan-masker,https://assets.klikindomaret.com/products/20111008/20111008_thumb.jpg
Indomaret Masker 4D Premium 4'S Abu-Abu,Rp 14.500,kesehatan-masker,https://assets.klikindomaret.com/products/20111711/20111711_thumb.jpg
Indomaret Masker 4D Premium 4'S Hitam,Rp 14.500,kesehatan-masker,https://assets.klikindomaret.com/products/20115472/20115472_thumb.jpg
Indomaret Masker 4D Premium 4'S Putih,Rp 14.500,kesehatan-masker,https://assets.klikindomaret.com/products/20111707/20111707_thumb.jpg
Indomaret Masker Anak isi 5,Rp 8.900,kesehatan-masker,https://assets.klikindomaret.com/products/20122257/20122257_thumb.jpg
Indomaret Masker Duckbill 5Ply Abu-Abu 4'S,Rp 10.900,kesehatan-masker,https://assets.klikindomaret.com/products/20131279/20131279_thumb.jpg
Indomaret Masker Duckbill 5Ply Hitam 4'S,Rp 10.900,kesehatan-masker,https://assets.klikindomaret.com/products/20131301/20131301_thumb.jpg
Indomaret Masker Duckbill 5Ply Putih 4'S,Rp 10.900,kesehatan-masker,https://assets.klikindomaret.com/products/20131278/20131278_thumb.jpg
Indomaret Masker Hijab 5'S,Rp 7.500,kesehatan-masker,https://assets.klikindomaret.com/products/20120506/20120506_thumb.jpg
Indomaret Masker Multifungsi 5'S,Rp 7.500,kesehatan-masker,https://assets.klikindomaret.com/products/20117862/20117862_thumb.jpg
Indomaret Masker Slim 3Ply 5'S Abu Abu,Rp 7.500,kesehatan-masker,https://assets.klikindomaret.com/products/20118217/20118217_thumb.jpg
Indomaret Masker Slim 3Ply 5'S Hitam,Rp 7.500,kesehatan-masker,https://assets.klikindomaret.com/products/20118218/20118218_thumb.jpg
M+ Medical Mask 3Ply 5'S,Rp 8.900,kesehatan-masker,https://assets.klikindomaret.com/products/20110481/20110481_thumb.jpg
Nexcare Carbon Masker 2'S,Rp 8.900,kesehatan-masker,https://assets.klikindomaret.com/products/20085748/20085748_thumb.jpg
Nexcare Kids Mask 3'S,Rp 8.900,kesehatan-masker,https://assets.klikindomaret.com/products/20094308/20094308_thumb.jpg
Primero Earloop Protective Mask 3 Ply 5'S,Rp 8.900,kesehatan-masker,https://assets.klikindomaret.com/products/20108548/20108548_thumb.jpg
Skrineer Masker Smart Plus Head Loop 5'S,Rp 8.900,kesehatan-masker,https://assets.klikindomaret.com/products/20107986/20107986_thumb.jpg
Promina MASKER (HADIAH)  PCK,Rp 2,kesehatan-masker,https://assets.klikindomaret.com/products/20106714/20106714_thumb.jpg
