title,normal_price,label,image_url
88 Krim Anti Jamur 5G,51%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20094802/20094802_thumb.jpg
Fresh Care Press & Relax Strong 10Ml,41%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20100140/20100140_thumb.webp
Cap Lang Minyak Telon Lang Plus Triple Action 150Ml,37%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20082403/20082403_thumb.jpg
Plossa Press & Sooth Aromatics Citrus 4mL,37%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20134528/20134528_thumb.jpg
Salonpas Koyo Pereda Nyeri Extra Hot 5x2's,35%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20128440/20128440_thumb.jpg
Konicare Minyak Telon Plus 125Ml,30%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20052548/20052548_thumb.jpg
Rohto Tetes Mata Steril V-Extra 7Ml,26%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20105059/20105059_thumb.jpg
Salonpas Pain Relief Patch 5'S,24%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20063736/20063736_thumb.jpg
My Baby Minyak Kayu Putih Kids Plus 60mL,23%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20109557/20109557_thumb.jpg
Hot In Cream Obat Gosok 120Ml,21%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20047965/20047965_thumb.jpg
Cussons Baby Telon Oil Plus 60mL,21%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20134841/20134841_thumb.webp
Hansaplast Koyo Hangat 10'S,20%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20022903/20022903_thumb.jpg
Hansaplast Koyo Panas 10's,20%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/10016198/10016198_thumb.jpg
Hot In Cream Obat Gosok 60G,20%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20057841/20057841_thumb.webp
Hot In Cream Obat Gosok Strong 120Ml,20%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20080244/20080244_thumb.webp
Fresh Care Minyak Angin Aroma Therapy 10Ml,18%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20034536/20034536_thumb.webp
Fresh Care Minyak Angin Aroma Therapy Lavender 10Ml,18%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20037203/20037203_thumb.webp
Fresh Care Minyak Angin Aroma Therapy Strong 10Ml,18%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20040719/20040719_thumb.webp
Fresh Care Minyak Angin Kayu Putih 10Ml,18%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20095234/20095234_thumb.webp
Fresh Care Smash Inhaler + Roll On,18%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20131218/20131218_thumb.webp
Fresh Care Smash Inhaler + Roll On Matcha 8mL,18%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20135134/20135134_thumb.webp
Hansaplast Plester Kain Elastis Fun 10'S Junior,17%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20133187/20133187_thumb.jpg
My Baby Minyak Telon Plus Longer Protection 90mL,14%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20072006/20072006_thumb.jpg
Hansaplast Kain Elastis 10'S Mixed,12%,kesehatan-obat--luar,https://assets.klikindomaret.com/products/10003514/10003514_thumb.jpg
Betadine Skin Care Antiseptic 100ml,Rp 50.000,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20083370/20083370_thumb.jpg
Betadine Solution 30Ml,Rp 32.500,kesehatan-obat--luar,https://assets.klikindomaret.com/products/10000553/10000553_thumb.webp
Caladine Lotion 60Ml,Rp 21.200,kesehatan-obat--luar,https://assets.klikindomaret.com/products/10003018/10003018_thumb.jpg
Cap Kapak Minyak Angin 10Ml,Rp 23.900,kesehatan-obat--luar,https://assets.klikindomaret.com/products/10000097/10000097_thumb.jpg
Cap Lang Minyak Angin V Fresh Roll On Hot 8mL,Rp 15.100,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20120915/20120915_thumb.jpg
Cap Lang Minyak Ekaliptus Aromatherapy Lavender 60mL,Rp 29.900,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20062974/20062974_thumb.jpg
Cap Lang Minyak Gosok Pijat Urut Gpu 60Ml,Rp 24.000,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20019446/20019446_thumb.jpg
Cap Lang Minyak Kayu Putih 120Ml,Rp 53.200,kesehatan-obat--luar,https://assets.klikindomaret.com/products/10002941/10002941_thumb.jpg
Cap Lang Minyak Kayu Putih 30Ml,Rp 14.700,kesehatan-obat--luar,https://assets.klikindomaret.com/products/10037405/10037405_thumb.jpg
Cap Lang Minyak Kayu Putih 60Ml,Rp 26.700,kesehatan-obat--luar,https://assets.klikindomaret.com/products/10000425/10000425_thumb.jpg
Cap Lang Minyak Kayu Putih Aroma Therapy 60Ml,Rp 29.900,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20036752/20036752_thumb.jpg
Cap Lang Minyak Kayu Putih Plus 60mL,Rp 30.200,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20079757/20079757_thumb.jpg
Cap Lang Minyak Telon Lang Plus Triple Action 60Ml,Rp 24.900,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20049629/20049629_thumb.jpg
Cap Lang Plester Penurun Demam Anak Kool Fever,Rp 10.200,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20029331/20029331_thumb.jpg
Cap Lang Plester Penurun Demam Bayi Kool Fever,Rp 8.500,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20044054/20044054_thumb.jpg
Cap Lang Plester Penurun Demam Dewasa Kool Fever,Rp 11.500,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20122436/20122436_thumb.jpg
Counterpain Obat Gosok Cream 30G,Rp 51.300,kesehatan-obat--luar,https://assets.klikindomaret.com/products/10000549/10000549_thumb.jpg
Geliga Balsam Otot 20G,Rp 13.800,kesehatan-obat--luar,https://assets.klikindomaret.com/products/10016755/10016755_thumb.jpg
Hansaplast Plester Aqua Protect 6'S,Rp 16.500,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20065430/20065430_thumb.jpg
Hansaplast Plester Finger Strips 6's,Rp 15.900,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20128903/20128903_thumb.jpg
Hisamitsu Plester Kompres Demam Baby Bye Bye-Fever 1 Lembar,Rp 8.700,kesehatan-obat--luar,https://assets.klikindomaret.com/products/10040122/10040122_thumb.jpg
Hisamitsu Plester Kompres Demam Bye Bye-Fever 5 Cm x 11Cm,Rp 12.700,kesehatan-obat--luar,https://assets.klikindomaret.com/products/10030819/10030819_thumb.jpg
Hisamitsu Plester Kompres Demam Dewasa Bye Bye-Fever 5cm x 13cm,Rp 13.900,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20129404/20129404_thumb.jpg
Ika Alkohol 70% 100Ml,Rp 21.800,kesehatan-obat--luar,https://assets.klikindomaret.com/products/10002676/10002676_thumb.jpg
Indomaret Minyak Kayu Putih 52Ml,Rp 23.900,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20106967/20106967_thumb.jpg
Insto Obat Tetes Mata Dry Eyes 7.5Ml,Rp 16.900,kesehatan-obat--luar,https://assets.klikindomaret.com/products/10015684/10015684_thumb.jpg
Kalpanax K Krim Kulit 5G,Rp 18.500,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20011308/20011308_thumb.jpg
Kalpanax Salep Kulit 6g,Rp 14.300,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20124837/20124837_thumb.jpg
Konicare Minyak Kayu Putih Plus 60Ml,Rp 29.200,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20064829/20064829_thumb.jpg
Konicare Minyak Telon Extra Lemongrass 60Ml,Rp 30.200,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20109383/20109383_thumb.jpg
Konicare Minyak Telon Plus 60Ml,Rp 28.900,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20040710/20040710_thumb.jpg
My Baby Minyak Telon Plus 145Ml,Rp 38.200,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20046056/20046056_thumb.jpg
My Baby Minyak Telon Plus 57Ml,Rp 18.100,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20027095/20027095_thumb.jpg
My Baby Minyak Telon Plus 85Ml,Rp 24.400,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20037413/20037413_thumb.jpg
My Baby Minyak Telon Plus Lavender 60mL,Rp 18.100,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20122064/20122064_thumb.jpg
My Baby Minyak Telon Plus Longer Protection 60Ml,Rp 20.600,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20091604/20091604_thumb.jpg
Plossa Press & Sooth Aromatics Eucalyptus 10Ml,Rp 17.200,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20091326/20091326_thumb.jpg
Plossa Press & Soothe Aromatics Citrus 10mL,Rp 17.800,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20122013/20122013_thumb.jpg
Rohto Obat Mata Cool 7Ml,Rp 19.900,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20002523/20002523_thumb.jpg
Safe Care Minyak Angin Aroma Therapy 10Ml,Rp 21.900,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20045178/20045178_thumb.jpg
Safe Care Minyak Angin Aroma Therapy Strong 10Ml,Rp 21.900,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20102037/20102037_thumb.jpg
Salonpas Koyo Pereda Nyeri 10x2's,Rp 14.500,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20052425/20052425_thumb.jpg
Salonpas Koyo Pereda Nyeri 5X2's,Rp 8.500,kesehatan-obat--luar,https://assets.klikindomaret.com/products/10034123/10034123_thumb.jpg
So Fresh Minyak Angin Aromatherapy Eucalyptus 2X10mL,Rp 15.000,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20134254/20134254_thumb.webp
So Fresh Minyak Angin Aromatherapy Hot 2X10mL,Rp 15.000,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20134253/20134253_thumb.webp
88 Salep Kulit 6G,Rp 15.200,kesehatan-obat--luar,https://assets.klikindomaret.com/products/10037415/10037415_thumb.jpg
Betadine Ointment Antiseptic 10g,Rp 27.600,kesehatan-obat--luar,https://assets.klikindomaret.com/products/10037399/10037399_thumb.jpg
Betadine Plester 5 Strip Waterproof Transparent,Rp 10.800,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20125861/20125861_thumb.jpg
Blood Menstru Heat,Rp 23.900,kesehatan-obat--luar,https://assets.klikindomaret.com/products/20120610/20120610_thumb.jpg
Cabe Koyo Kecil 10'S,Rp 17.900,kesehatan-obat--luar,https://assets.klikindomaret.com/products/10000098/10000098_thumb.jpg
