title,normal_price,label,image_url
Kewpie Saus Siram Kecap Ala Jepang 200mL,Rp 35.900,makanan-oriental-food,https://assets.klikindomaret.com/products/20103381/20103381_thumb.jpg
Kokita Tauco Super 400Ml,Rp 22.500,makanan-oriental-food,https://assets.klikindomaret.com/products/20003892/20003892_thumb.jpg
Lee Kum Kee Oyster Sauce (Saus Tiram) 145G,26%,makanan-oriental-food,https://assets.klikindomaret.com/products/20085784/20085784_thumb.jpg
Lee Kum Kee Pure Sesame Oil 115Ml,Rp 52.500,makanan-oriental-food,https://assets.klikindomaret.com/products/20031771/20031771_thumb.jpg
Mamasuka Delisaos Saus Tiram Manis 260mL,Rp 16.300,makanan-oriental-food,https://assets.klikindomaret.com/products/20098775/20098775_thumb.jpg
Mamasuka Delisaos Saus Tiram Udang & Jamur 260Ml,Rp 19.500,makanan-oriental-food,https://assets.klikindomaret.com/products/20098776/20098776_thumb.jpg
Nissin Mie Goreng Gekikara Ramen Hot Carbo 120G,13%,makanan-oriental-food,https://assets.klikindomaret.com/products/20104155/20104155_thumb.jpg
Nissin Mie Goreng Gekikara Ramen Pedas 118G,13%,makanan-oriental-food,https://assets.klikindomaret.com/products/20067395/20067395_thumb.jpg
Nissin Mie Instant Gekikara Ramen Pedas 109G,13%,makanan-oriental-food,https://assets.klikindomaret.com/products/20031775/20031775_thumb.jpg
Nissin Ramen Kaldu Ayam Ala Jepang 100G,9%,makanan-oriental-food,https://assets.klikindomaret.com/products/20090914/20090914_thumb.jpg
Totole Bumbu Kaldu Jamur 40G,Rp 6.400,makanan-oriental-food,https://assets.klikindomaret.com/products/20098663/20098663_thumb.jpg
