title,normal_price,label,image_url
Indomaret Madu Asli 250G,61%,makanan-sarapan,https://assets.klikindomaret.com/products/20128541/20128541_thumb.jpg
Tropicana Slim Diet Jam Strawbery 375g,40%,makanan-sarapan,https://assets.klikindomaret.com/products/10037684/10037684_thumb.jpg
Tropicana Slim Caffe Latte Sugar Free Drink 10x14g,30%,makanan-sarapan,https://assets.klikindomaret.com/products/10010168/10010168_thumb.jpg
Tropicana Slim Sweetener Gula Buah 50x2.5G,30%,makanan-sarapan,https://assets.klikindomaret.com/products/20134251/20134251_thumb.jpg
Tropicana Slim No Calorie Sweetener Diabetic 100X2g,30%,makanan-sarapan,https://assets.klikindomaret.com/products/20032309/20032309_thumb.jpg
Tropicana Slim Sweetener Low Calori 100X2.5g,30%,makanan-sarapan,https://assets.klikindomaret.com/products/10003960/10003960_thumb.jpg
Champion Cereal Instant 4 In 1 10X30G,30%,makanan-sarapan,https://assets.klikindomaret.com/products/20131221/20131221_thumb.jpg
L-Men Crunchy Chocolate Bar 25G,27%,makanan-sarapan,https://assets.klikindomaret.com/products/20081749/20081749_thumb.webp
L-Men Strongberry Bar 20G,25%,makanan-sarapan,https://assets.klikindomaret.com/products/20135481/20135481_thumb.jpg
Kellogg's Granola Dark Chocolate 40G,24%,makanan-sarapan,https://assets.klikindomaret.com/products/20134582/20134582_thumb.jpg
Kellogg's Granola Mixed Berries 40G,24%,makanan-sarapan,https://assets.klikindomaret.com/products/20134846/20134846_thumb.jpg
Kellogg's Cereal Froot Loops 150G,23%,makanan-sarapan,https://assets.klikindomaret.com/products/20052529/20052529_thumb.jpg
7+ Cereal Bar Cocoa Chia 22G,22%,makanan-sarapan,https://assets.klikindomaret.com/products/20128391/20128391_thumb.jpg
7+ Cereal Bar Yoghurt Berry 22G,22%,makanan-sarapan,https://assets.klikindomaret.com/products/20128392/20128392_thumb.jpg
Kellogg's Cereal Coco Fills 60G,22%,makanan-sarapan,https://assets.klikindomaret.com/products/20134578/20134578_thumb.jpg
Quaker Minuman Sereal 3 In 1 Cokelat 8X28G,20%,makanan-sarapan,https://assets.klikindomaret.com/products/20129283/20129283_thumb.jpg
Quaker Minuman Sereal 3 In 1 Vanilla 8X28G,20%,makanan-sarapan,https://assets.klikindomaret.com/products/20124962/20124962_thumb.jpg
Sari Roti Dorayaki Coklat 55G,20%,makanan-sarapan,https://assets.klikindomaret.com/products/20062099/20062099_thumb.jpg
Sari Roti Roti Tawar Special,20%,makanan-sarapan,https://assets.klikindomaret.com/products/10004037/10004037_thumb.webp
Tropicana Slim Sweetener Stevia 50X2.2G,19%,makanan-sarapan,https://assets.klikindomaret.com/products/20074669/20074669_thumb.jpg
Budy Jam Strawberry 150G,17%,makanan-sarapan,https://assets.klikindomaret.com/products/10003942/10003942_thumb.jpg
Energen Cereal Instant Kacang Hijau 10X35G,15%,makanan-sarapan,https://assets.klikindomaret.com/products/20001606/20001606_thumb.jpg
Energen Sereal & Susu Cokelat 10X35g,15%,makanan-sarapan,https://assets.klikindomaret.com/products/20001605/20001605_thumb.jpg
Energen Sereal & Susu Vanila 10X34g,15%,makanan-sarapan,https://assets.klikindomaret.com/products/20001604/20001604_thumb.jpg
