title,normal_price,label,image_url
Blue Band Margarine Cake & Cookie 200G,28%,makanan-western-food,https://assets.klikindomaret.com/products/20041164/20041164_thumb.jpg
Blue Band Margarine Serbaguna 200G,Rp 9.900,makanan-western-food,https://assets.klikindomaret.com/products/10005073/10005073_thumb.jpg
Blue Band Margarine Serbaguna 250G,Rp 21.900,makanan-western-food,https://assets.klikindomaret.com/products/10000210/10000210_thumb.jpg
Dougo Canola Oil 1000Ml,Rp 67.500,makanan-western-food,https://assets.klikindomaret.com/products/20021895/20021895_thumb.jpg
Emina Block Shred Cheese 160G,28%,makanan-western-food,https://assets.klikindomaret.com/products/20121028/20121028_thumb.jpg
Filippo Berio Olive Oil Extra Light 250Ml,Rp 73.500,makanan-western-food,https://assets.klikindomaret.com/products/20103310/20103310_thumb.jpg
Filma Margarine Bernutrisi 200G,24%,makanan-western-food,https://assets.klikindomaret.com/products/20002415/20002415_thumb.jpg
Forvita Margarine 200G,25%,makanan-western-food,https://assets.klikindomaret.com/products/20003405/20003405_thumb.jpg
Kraft Cheese Quick Melt Mozza 165G,14%,makanan-western-food,https://assets.klikindomaret.com/products/20023912/20023912_thumb.webp
Kraft Cheese Single 8 Slices 120g,Rp 25.200,makanan-western-food,https://assets.klikindomaret.com/products/10000465/10000465_thumb.jpg
Kraft Keju All in 1 Box 150g,26%,makanan-western-food,https://assets.klikindomaret.com/products/20110249/20110249_thumb.jpg
Kraft Keju Cheddar 30g,Rp 5.500,makanan-western-food,https://assets.klikindomaret.com/products/20015029/20015029_thumb.jpg
Kraft Keju Cheddar 70g,Rp 12.700,makanan-western-food,https://assets.klikindomaret.com/products/20049621/20049621_thumb.jpg
Kraft Keju Cheddar Box 150g,29%,makanan-western-food,https://assets.klikindomaret.com/products/20003902/20003902_thumb.jpg
Kraft Keju Single Tinggi Kalsium 5 Lembar,Rp 14.300,makanan-western-food,https://assets.klikindomaret.com/products/10002565/10002565_thumb.jpg
Meg Keju Serbaguna 10'S 150G,Rp 13.600,makanan-western-food,https://assets.klikindomaret.com/products/20103166/20103166_thumb.webp
Meg Keju Serbaguna 160G,Rp 14.200,makanan-western-food,https://assets.klikindomaret.com/products/20069701/20069701_thumb.webp
Palmia Margarine Serbaguna 200G,Rp 6.300,makanan-western-food,https://assets.klikindomaret.com/products/10000439/10000439_thumb.jpg
Pro Chiz Keju Cheddar Royale 160G,Rp 20.600,makanan-western-food,https://assets.klikindomaret.com/products/20036469/20036469_thumb.jpg
Pro Chiz Keju Gold 160G,31%,makanan-western-food,https://assets.klikindomaret.com/products/20058306/20058306_thumb.jpg
Pro Chiz Keju Gold Slice 12'S 156G,Rp 12.400,makanan-western-food,https://assets.klikindomaret.com/products/20096979/20096979_thumb.jpg
Pro Chiz Keju Quick Melt Slice 5'S 85g,17%,makanan-western-food,https://assets.klikindomaret.com/products/20122572/20122572_thumb.jpg
Pro Chiz Keju Slice 10'S 170G,Rp 14.400,makanan-western-food,https://assets.klikindomaret.com/products/20044862/20044862_thumb.jpg
