title,normal_price,label,image_url
Luwak Coffee Drink Kopi + Gula 220mL,36%,minuman-kopi,https://assets.klikindomaret.com/products/20124713/20124713_thumb.jpg
Luwak Kopi Bubuk+Gula (6+2) 138G,31%,minuman-kopi,https://assets.klikindomaret.com/products/20067868/20067868_thumb.jpg
Tropicana Slim White Coffee 4X15G,30%,minuman-kopi,https://assets.klikindomaret.com/products/20128817/20128817_thumb.jpg
Luwak White Koffie Original 220Ml,27%,minuman-kopi,https://assets.klikindomaret.com/products/20078206/20078206_thumb.jpg
Torabika Cappuccino Extra Choco Granule 10X25g,23%,minuman-kopi,https://assets.klikindomaret.com/products/20093327/20093327_thumb.jpg
Luwak Kopi Bubuk Murni 10+5X6.5G,20%,minuman-kopi,https://assets.klikindomaret.com/products/20127276/20127276_thumb.webp
Torabika Kopi Instant Creamy Latte 10X2g,19%,minuman-kopi,https://assets.klikindomaret.com/products/20100796/20100796_thumb.webp
Pikopi Kopi Instant (6+3) Gula Aren 9X22G,17%,minuman-kopi,https://assets.klikindomaret.com/products/20122406/20122406_thumb.jpg
Good Day Kopi Instant 3 In 1 Duet Moca'caramel 5X22G,17%,minuman-kopi,https://assets.klikindomaret.com/products/20124882/20124882_thumb.jpg
Abc Kopi Susu Instant Gula Aren 9X27G,13%,minuman-kopi,https://assets.klikindomaret.com/products/20125633/20125633_thumb.jpg
Torabika Cappuccino Extra Choco Granule 30X25g,13%,minuman-kopi,https://assets.klikindomaret.com/products/20109704/20109704_thumb.jpg
Fresco Kopi+Gula (Beli 6 Gratis 3) 9X24G,12%,minuman-kopi,https://assets.klikindomaret.com/products/20043807/20043807_thumb.jpg
Kapal Api Kopi Bubuk Special 20X6G,12%,minuman-kopi,https://assets.klikindomaret.com/products/20086181/20086181_thumb.jpg
Kapal Api Kopi Bubuk Gula Aren Special Mix 10X23g,10%,minuman-kopi,https://assets.klikindomaret.com/products/20119091/20119091_thumb.jpg
Abc Kopi Instant Kopi&Gula+Susu 10X31g,10%,minuman-kopi,https://assets.klikindomaret.com/products/10003922/10003922_thumb.jpg
Kapal Api Kopi Bubuk Special 150G,7%,minuman-kopi,https://assets.klikindomaret.com/products/10008882/10008882_thumb.webp
Abc Coffee Drink Chocomalt Coffee 200mL,Rp 3.500,minuman-kopi,https://assets.klikindomaret.com/products/20102789/20102789_thumb.jpg
Abc Coffee Drink Milk Coffee 200mL,Rp 3.500,minuman-kopi,https://assets.klikindomaret.com/products/20102790/20102790_thumb.jpg
Caffino Coffee Ready To Drink Milky Espresso 200mL,Rp 7.500,minuman-kopi,https://assets.klikindomaret.com/products/20132760/20132760_thumb.jpg
Caffino Coffee Ready To Drink Oat Cappuccino 200mL,Rp 7.500,minuman-kopi,https://assets.klikindomaret.com/products/20132761/20132761_thumb.jpg
Chekhup Ipoh White Coffee Rich 3 In 1 12x40G,Rp 94.500,minuman-kopi,https://assets.klikindomaret.com/products/20025130/20025130_thumb.jpg
Delmonte Boba Coffee Caramel Cheese 240mL,Rp 10.500,minuman-kopi,https://assets.klikindomaret.com/products/20104972/20104972_thumb.jpg
Excelso Kopi Arabica 100g,Rp 34.200,minuman-kopi,https://assets.klikindomaret.com/products/20022693/20022693_thumb.jpg
Excelso Kopi Bubuk Arabica Gold 10X10g,Rp 35.700,minuman-kopi,https://assets.klikindomaret.com/products/20108849/20108849_thumb.jpg
Excelso Kopi Bubuk Java Arabica 10X10g,Rp 35.800,minuman-kopi,https://assets.klikindomaret.com/products/20108852/20108852_thumb.jpg
Excelso Kopi Bubuk Java Arabica 200g,Rp 69.500,minuman-kopi,https://assets.klikindomaret.com/products/20108843/20108843_thumb.jpg
Excelso Kopi Bubuk Robusta Gold 10X10g,Rp 26.900,minuman-kopi,https://assets.klikindomaret.com/products/20108847/20108847_thumb.jpg
Excelso Kopi Bubuk Sumatera Mandheling 10X10g,Rp 40.900,minuman-kopi,https://assets.klikindomaret.com/products/20108853/20108853_thumb.jpg
Excelso Kopi Bubuk Sumatera Mandheling 200g,Rp 77.500,minuman-kopi,https://assets.klikindomaret.com/products/20108844/20108844_thumb.jpg
Fresco Kopi Instant Cappuccino 9X25g,Rp 13.400,minuman-kopi,https://assets.klikindomaret.com/products/20103738/20103738_thumb.jpg
Gadjah Kopi Tubruk Asli 138G,Rp 15.900,minuman-kopi,https://assets.klikindomaret.com/products/20112371/20112371_thumb.jpg
Gadjah Kopi Tubruk Asli 60G,Rp 7.900,minuman-kopi,https://assets.klikindomaret.com/products/20129093/20129093_thumb.jpg
Gadjah Kopi Tubruk Manis 2 In 1 10X25g,Rp 15.800,minuman-kopi,https://assets.klikindomaret.com/products/20112372/20112372_thumb.jpg
Gambino Coffee Rebels Cold Brew Scottish Cream 250mL,Rp 38.500,minuman-kopi,https://assets.klikindomaret.com/products/20122701/20122701_thumb.jpg
Gambino Coffee Rebels Cold Brew Swiss Hazelnut 250mL,Rp 38.500,minuman-kopi,https://assets.klikindomaret.com/products/20122699/20122699_thumb.jpg
Golda Coffee Drink Cappuccino 200mL,Rp 3.500,minuman-kopi,https://assets.klikindomaret.com/products/20123322/20123322_thumb.jpg
Golda Coffee Drink Dolce Latte 200mL,Rp 3.500,minuman-kopi,https://assets.klikindomaret.com/products/20087542/20087542_thumb.jpg
Good Day Coffee Drink Avocado Delight 250Ml,Rp 7.700,minuman-kopi,https://assets.klikindomaret.com/products/20056193/20056193_thumb.webp
Good Day Coffee Drink Cappuccino 250Ml,Rp 7.700,minuman-kopi,https://assets.klikindomaret.com/products/20076770/20076770_thumb.webp
Good Day Coffee Drink Funtasic Mocacinno 250Ml,Rp 7.700,minuman-kopi,https://assets.klikindomaret.com/products/20045674/20045674_thumb.webp
Good Day Coffee Drink Groovy Cookies 250mL,Rp 7.700,minuman-kopi,https://assets.klikindomaret.com/products/20132329/20132329_thumb.jpg
Good Day Coffee Drink Tiramisu Bliss 250Ml,Rp 7.700,minuman-kopi,https://assets.klikindomaret.com/products/20045673/20045673_thumb.webp
Good Day Coffee Freeze 3 in 1 Cookies N Cream 10x30g,Rp 30.000,minuman-kopi,https://assets.klikindomaret.com/products/20110817/20110817_thumb.jpg
Good Day Coffee Freeze 3 in 1 Hazelnut Macchiato 10x30g,Rp 30.000,minuman-kopi,https://assets.klikindomaret.com/products/20110816/20110816_thumb.jpg
Good Day Coffee Freeze 3In1 Cookies N Cream 5X30g,Rp 15.900,minuman-kopi,https://assets.klikindomaret.com/products/20120442/20120442_thumb.jpg
Good Day Kopi Instant 3 In 1 Chococinno 10X20g,Rp 17.400,minuman-kopi,https://assets.klikindomaret.com/products/20060370/20060370_thumb.jpg
Good Day Kopi Instant 3 In 1 Mocacinno 10X20g,Rp 17.400,minuman-kopi,https://assets.klikindomaret.com/products/20046081/20046081_thumb.jpg
Good Day Kopi Instant 3 In 1 Vanilla Latte 10X20g,Rp 17.400,minuman-kopi,https://assets.klikindomaret.com/products/20060371/20060371_thumb.jpg
Good Day Kopi Instant Cappuccino W/Coklat Granul 10X25g,Rp 24.300,minuman-kopi,https://assets.klikindomaret.com/products/20031318/20031318_thumb.jpg
Ichitan Thai Milk Coffee Drink 300mL,Rp 9.100,minuman-kopi,https://assets.klikindomaret.com/products/20093586/20093586_thumb.jpg
Indocafe Cappuccino 10X25g,Rp 26.000,minuman-kopi,https://assets.klikindomaret.com/products/20054633/20054633_thumb.jpg
Indocafe Coffee Mix 15x20G,Rp 26.900,minuman-kopi,https://assets.klikindomaret.com/products/10003073/10003073_thumb.jpg
Indocafe Coffee Mix 3 In 1 10X20G,Rp 17.500,minuman-kopi,https://assets.klikindomaret.com/products/20042025/20042025_thumb.jpg
Indocafe Coffee Mix 30X20g,Rp 52.900,minuman-kopi,https://assets.klikindomaret.com/products/10036848/10036848_thumb.jpg
Indocafe Coffee Mix 5X20g,Rp 9.300,minuman-kopi,https://assets.klikindomaret.com/products/10000638/10000638_thumb.jpg
Indocafe Kopi Instant Fine Blend 100g,Rp 38.500,minuman-kopi,https://assets.klikindomaret.com/products/10000607/10000607_thumb.jpg
Indocafe Kopi Instant Original Blend 100g,Rp 47.200,minuman-kopi,https://assets.klikindomaret.com/products/20109586/20109586_thumb.jpg
Indocafe Kopi Instant Original Blend 50g,Rp 24.200,minuman-kopi,https://assets.klikindomaret.com/products/20109583/20109583_thumb.jpg
Indocafe White Coffee 10X12G,Rp 26.300,minuman-kopi,https://assets.klikindomaret.com/products/20038945/20038945_thumb.jpg
