title,normal_price,label,image_url
Vidoran Susu Cair Kids Coklat 110mL,31%,minuman-susu,https://assets.klikindomaret.com/products/20057229/20057229_thumb.jpg
Oatside Oat Milk Barista Blend 200mL,29%,minuman-susu,https://assets.klikindomaret.com/products/20129102/20129102_thumb.jpg
Oatside Oat Milk Chocolate 200mL,29%,minuman-susu,https://assets.klikindomaret.com/products/20129123/20129123_thumb.jpg
Milk Life Susu Cair Uht Chocolate 200Ml,28%,minuman-susu,https://assets.klikindomaret.com/products/20113814/20113814_thumb.jpg
So Good Susu Steril Steril 189mL,26%,minuman-susu,https://assets.klikindomaret.com/products/20136193/20136193_thumb.jpg
L-Men Susu Bubuk Gain Mass For Men Chocolate 500G,25%,minuman-susu,https://assets.klikindomaret.com/products/10034341/10034341_thumb.jpg
L-Men Platinum High Protein Choco Latte 6X33.5G,25%,minuman-susu,https://assets.klikindomaret.com/products/20112594/20112594_thumb.jpg
Hilo School Susu Bubuk Hi-Calcium Cotton Candy 500G,25%,minuman-susu,https://assets.klikindomaret.com/products/20122803/20122803_thumb.jpg
Hilo School Susu Bubuk Hi-Calcium Strawberry Cheese 500G,25%,minuman-susu,https://assets.klikindomaret.com/products/20117357/20117357_thumb.jpg
Hilo Gold Susu Bubuk Hi-Calcium Chocolate 500G,25%,minuman-susu,https://assets.klikindomaret.com/products/20008155/20008155_thumb.jpg
Hilo Gold Susu Bubuk Hi-Calcium Original 500G,25%,minuman-susu,https://assets.klikindomaret.com/products/20010500/20010500_thumb.jpg
L-Men Daily High Protein Popcorn Caramel 250g,25%,minuman-susu,https://assets.klikindomaret.com/products/20117968/20117968_thumb.jpg
L-Men Susu Bubuk Hi-Protein For Men Dark Chocolate 250G,25%,minuman-susu,https://assets.klikindomaret.com/products/20013022/20013022_thumb.jpg
Hilo Teen Susu Bubuk Hi-Calcium Popcorn Caramel 500G,25%,minuman-susu,https://assets.klikindomaret.com/products/20115989/20115989_thumb.jpg
L-Men Susu Bubuk Lose Weight Choco Cereal 12X25G,25%,minuman-susu,https://assets.klikindomaret.com/products/20001188/20001188_thumb.jpg
Frisian Flag Susu Bubuk Instant Kompleta Chocolate 800G,22%,minuman-susu,https://assets.klikindomaret.com/products/10009288/10009288_thumb.jpg
Hilo Susu Bubuk Hi-Calcium Platinum Vanilla 336G,20%,minuman-susu,https://assets.klikindomaret.com/products/20130526/20130526_thumb.jpg
Hilo School Susu Bubuk Hi-Calcium Bubble Gum 500G,20%,minuman-susu,https://assets.klikindomaret.com/products/20122805/20122805_thumb.jpg
Collagena Susu Steril 189mL,20%,minuman-susu,https://assets.klikindomaret.com/products/20134968/20134968_thumb.jpg
Hilo Susu Cair Protein Chocolate 190mL,20%,minuman-susu,https://assets.klikindomaret.com/products/20134048/20134048_thumb.jpg
Hilo School Susu Bubuk HI-Calcium Vanila Vegiberi 750g,20%,minuman-susu,https://assets.klikindomaret.com/products/20097398/20097398_thumb.jpg
Hilo Teen Susu Bubuk HI-Calcium Chocolate 750g,20%,minuman-susu,https://assets.klikindomaret.com/products/20032306/20032306_thumb.jpg
Hilo School Susu Bubuk HI-Calcium Chocolate 750g,20%,minuman-susu,https://assets.klikindomaret.com/products/20034447/20034447_thumb.jpg
Hilo Teen Susu Bubuk HI-Calsium Vanilla Caramel 750g,20%,minuman-susu,https://assets.klikindomaret.com/products/20032307/20032307_thumb.jpg
Cimory Fresh Milk Uht Bebas Laktosa 250mL,20%,minuman-susu,https://assets.klikindomaret.com/products/20134390/20134390_thumb.jpg
Cimory Fresh Milk Uht Chocolate 250Ml,20%,minuman-susu,https://assets.klikindomaret.com/products/20099571/20099571_thumb.jpg
L-Men Susu Cair Whey Protein 2 Go Chocolate 200Ml,20%,minuman-susu,https://assets.klikindomaret.com/products/20080706/20080706_thumb.jpg
Enfagrow Susu Formula Pertumbuhan A+ 4 Vanila 1800G,19%,minuman-susu,https://assets.klikindomaret.com/products/20134032/20134032_thumb.webp
Enfagrow Susu Pertumbuhan Essential 4 Vanila 800G,18%,minuman-susu,https://assets.klikindomaret.com/products/20134034/20134034_thumb.webp
Milk Life Susu Cair Uht Full Cream 1000mL,18%,minuman-susu,https://assets.klikindomaret.com/products/20134320/20134320_thumb.jpg
Enfagrow Susu Pertumbuhan Essential 3 Vanila 1800G,17%,minuman-susu,https://assets.klikindomaret.com/products/20134033/20134033_thumb.webp
Dancow Susu Cair Uht Fortigro Coklat 110mL,17%,minuman-susu,https://assets.klikindomaret.com/products/20054383/20054383_thumb.jpg
Dancow Susu Cair Uht Fortigro Vanila 110mL,17%,minuman-susu,https://assets.klikindomaret.com/products/20134172/20134172_thumb.jpg
Ultra Susu Cair Uht Steril Ultracore Chocolate 1000mL,17%,minuman-susu,https://assets.klikindomaret.com/products/20136067/20136067_thumb.webp
Anlene Gold 5X Susu Bubuk Hi-Calcium Vanila 600G,16%,minuman-susu,https://assets.klikindomaret.com/products/20021571/20021571_thumb.jpg
Anlene Gold Plus 5X Hi-Calcium Coklat 600G,16%,minuman-susu,https://assets.klikindomaret.com/products/10040192/10040192_thumb.jpg
Anlene Gold Plus 5X Hi-Calcium Original 600G,16%,minuman-susu,https://assets.klikindomaret.com/products/10013353/10013353_thumb.jpg
Tropicana Slim Oat Drink Vanillicious 190mL,16%,minuman-susu,https://assets.klikindomaret.com/products/20118377/20118377_thumb.jpg
Tropicana Slim Almond Drink Chocolicious 190mL,15%,minuman-susu,https://assets.klikindomaret.com/products/20130518/20130518_thumb.jpg
Indomilk Susu Cair Uht Chocolate 950Ml,15%,minuman-susu,https://assets.klikindomaret.com/products/10004884/10004884_thumb.jpg
Indomilk Susu Cair Uht Plain 950Ml,15%,minuman-susu,https://assets.klikindomaret.com/products/10005909/10005909_thumb.jpg
Olatte Minuman Milky & Fruity Peach 240Ml,15%,minuman-susu,https://assets.klikindomaret.com/products/20089805/20089805_thumb.jpg
Olatte Minuman Milky & Fruity Pear 240Ml,15%,minuman-susu,https://assets.klikindomaret.com/products/20089806/20089806_thumb.jpg
Olatte Minuman Milky & Fruity Strawberry 240mL,15%,minuman-susu,https://assets.klikindomaret.com/products/20135975/20135975_thumb.jpg
Sgm Eksplor 5+ Pro-Gressmaxx Susu Pertumbuhan Madu 400G,15%,minuman-susu,https://assets.klikindomaret.com/products/20049108/20049108_thumb.webp
Tropicana Slim Non Fat Dry Milk Plain 1000G,15%,minuman-susu,https://assets.klikindomaret.com/products/10006894/10006894_thumb.jpg
Ovaltine Susu Bubuk 3 In 1 900G,15%,minuman-susu,https://assets.klikindomaret.com/products/20067665/20067665_thumb.jpg
Ovaltine Susu Bubuk Classic 900G,15%,minuman-susu,https://assets.klikindomaret.com/products/20128237/20128237_thumb.jpg
Hilo Susu Bubuk Hi-Calcium Platinum Swiss Chocolate 420g,15%,minuman-susu,https://assets.klikindomaret.com/products/20069236/20069236_thumb.jpg
Nestle Goodnes Susu Cair Kurma Royale 189mL,15%,minuman-susu,https://assets.klikindomaret.com/products/20128794/20128794_thumb.jpg
Oatside Oat Milk Chocomalt 200mL,15%,minuman-susu,https://assets.klikindomaret.com/products/20133859/20133859_thumb.jpg
Oatside Oat Milk Uht Barista Blend 200mL,15%,minuman-susu,https://assets.klikindomaret.com/products/20130034/20130034_thumb.jpg
Oatside Oat Milk Uht Chocolate 200mL,15%,minuman-susu,https://assets.klikindomaret.com/products/20130038/20130038_thumb.jpg
Tujuh Kurma Susu Steril Kurma 189mL,14%,minuman-susu,https://assets.klikindomaret.com/products/20103718/20103718_thumb.jpg
Ultra Susu Cair Uht Steril Chocolate 1000Ml,14%,minuman-susu,https://assets.klikindomaret.com/products/10036647/10036647_thumb.jpg
Ultra Susu Cair Uht Steril Plain 1000Ml,14%,minuman-susu,https://assets.klikindomaret.com/products/10000405/10000405_thumb.jpg
Ultra Susu Cair Uht Steril Ultracore Full Cream 1000mL,14%,minuman-susu,https://assets.klikindomaret.com/products/20136066/20136066_thumb.webp
Frisian Flag Susu Cair Uht Coconut Delight 946Ml,13%,minuman-susu,https://assets.klikindomaret.com/products/20077501/20077501_thumb.jpg
Frisian Flag Susu Cair Uht Cokelat 946Ml,13%,minuman-susu,https://assets.klikindomaret.com/products/20014071/20014071_thumb.jpg
Frisian Flag Susu Cair Uht Full Cream 946Ml,13%,minuman-susu,https://assets.klikindomaret.com/products/20014069/20014069_thumb.jpg
Frisian Flag Susu Cair Uht Nutribrain Plain 6X115mL,12%,minuman-susu,https://assets.klikindomaret.com/products/20134673/20134673_thumb.jpg
Frisian Flag Susu Cair Uht Milky / Nutribrain Choco 6X115mL,12%,minuman-susu,https://assets.klikindomaret.com/products/20083795/20083795_thumb.jpg
Frisian Flag Susu Cair Uht Milky / Nutribrain Strawberry 6X115mL,12%,minuman-susu,https://assets.klikindomaret.com/products/20091183/20091183_thumb.jpg
Frisian Flag Susu Cair Uht Low Fat 946Ml,12%,minuman-susu,https://assets.klikindomaret.com/products/20014070/20014070_thumb.jpg
Greenfields Uht Milk Chocolate 105mL,12%,minuman-susu,https://assets.klikindomaret.com/products/20130190/20130190_thumb.jpg
Greenfields Uht Milk Full Cream 105mL,12%,minuman-susu,https://assets.klikindomaret.com/products/20087410/20087410_thumb.jpg
L-Men Susu Bubuk Gain Mass For Men Chocolate 225G,12%,minuman-susu,https://assets.klikindomaret.com/products/20061751/20061751_thumb.jpg
Ultra Susu Cair Low Fat 1000Ml,12%,minuman-susu,https://assets.klikindomaret.com/products/10036646/10036646_thumb.jpg
Ultra Susu Cair Low Fat Hi-Calcium Coklat 1000Ml,12%,minuman-susu,https://assets.klikindomaret.com/products/20017225/20017225_thumb.jpg
Greenfields Uht Milk Strawberry 105mL,12%,minuman-susu,https://assets.klikindomaret.com/products/20087412/20087412_thumb.jpg
Hilo Teen Susu Bubuk Hi-Calcium Coklat 500G,11%,minuman-susu,https://assets.klikindomaret.com/products/20040458/20040458_thumb.jpg
Milo Healty Drink Uht Nutriactiv Choco Banana 180mL,11%,minuman-susu,https://assets.klikindomaret.com/products/20133873/20133873_thumb.jpg
Milo Healty Drink Uht Nutriactiv Choco Cereal 180mL,11%,minuman-susu,https://assets.klikindomaret.com/products/20133871/20133871_thumb.jpg
Hilo School Susu Bubuk Hi-Calcium Chocolate 250G,11%,minuman-susu,https://assets.klikindomaret.com/products/20033353/20033353_thumb.jpg
Sgm Eksplor 5+ Pro-Gressmaxx Susu Pertumbuhan Madu 900G,10%,minuman-susu,https://assets.klikindomaret.com/products/20066494/20066494_thumb.webp
Etawalin Susu Nyeri Sendi & Pegal Linu 200G,9%,minuman-susu,https://assets.klikindomaret.com/products/20134840/20134840_thumb.jpg
MILO Activ-Go UHT Susu Cokelat 4x110mL,8%,minuman-susu,https://assets.klikindomaret.com/products/20113180/20113180_thumb.jpg
Vidoran Xmart3+ Susu Pertumbuhan Madu 700G,5%,minuman-susu,https://assets.klikindomaret.com/products/20082394/20082394_thumb.jpg
Vidoran Xmart3+ Susu Pertumbuhan Vanila 700G,5%,minuman-susu,https://assets.klikindomaret.com/products/20090437/20090437_thumb.jpg
Bebelac 4 Susu Pertumbuhan Grogreat+ Madu 3000G,3%,minuman-susu,https://assets.klikindomaret.com/products/20133421/20133421_thumb.webp
Bebelac 4 Susu Pertumbuhan Grogreat+ Vanilla 3000G,3%,minuman-susu,https://assets.klikindomaret.com/products/20133435/20133435_thumb.webp
Bebelac 3 Susu Pertumbuhan Grogreat+ Madu 3000G,3%,minuman-susu,https://assets.klikindomaret.com/products/20133419/20133419_thumb.webp
Anchor Boneeto Susu Bubuk Hi-Calcium Creamy Vanilla 320G,Rp 44.200,minuman-susu,https://assets.klikindomaret.com/products/10007386/10007386_thumb.jpg
Anchor Boneeto Susu Bubuk Hi-Calcium Creamy Vanilla 685G,Rp 78.400,minuman-susu,https://assets.klikindomaret.com/products/10011507/10011507_thumb.jpg
Anchor Boneeto Susu Bubuk Hi-Calcium Yummy Choco 320G,Rp 44.200,minuman-susu,https://assets.klikindomaret.com/products/10005494/10005494_thumb.jpg
Anchor Boneeto Susu Bubuk Hi-Calcium Yummy Choco 685G,Rp 78.400,minuman-susu,https://assets.klikindomaret.com/products/10008484/10008484_thumb.jpg
Anchor Susu Bubuk Milk & Grain+ Original 350G,Rp 54.900,minuman-susu,https://assets.klikindomaret.com/products/20132139/20132139_thumb.jpg
Anchor Susu Bubuk Protein+ Original 350G,Rp 54.900,minuman-susu,https://assets.klikindomaret.com/products/20132140/20132140_thumb.jpg
Anlene Actifit 3x Hi-Calcium Original 230G,Rp 35.100,minuman-susu,https://assets.klikindomaret.com/products/10005434/10005434_thumb.webp
Anlene Actifit 3X Hi-Calcium Vanila 230G,Rp 35.100,minuman-susu,https://assets.klikindomaret.com/products/10012198/10012198_thumb.webp
Anlene Actifit 3X Susu Bubuk Hi-Calcium Cokelat 580G,Rp 77.800,minuman-susu,https://assets.klikindomaret.com/products/10040193/10040193_thumb.jpg
Anlene Actifit 3X Susu Bubuk Hi-Calcium Original 580G,Rp 77.800,minuman-susu,https://assets.klikindomaret.com/products/10013352/10013352_thumb.jpg
Anlene Actifit 3X Susu Bubuk Hi-Calcium Vanila 580G,Rp 77.800,minuman-susu,https://assets.klikindomaret.com/products/20021569/20021569_thumb.jpg
Anlene Gold 5x Susu Bubuk Hi-Calcium Original 850G,Rp 143.000,minuman-susu,https://assets.klikindomaret.com/products/20112515/20112515_thumb.jpg
Anlene Gold 5x Susu Bubuk Hi-Calcium Vanila 850G,Rp 143.000,minuman-susu,https://assets.klikindomaret.com/products/20128384/20128384_thumb.jpg
Anlene Gold Plus 5X Hi-Calcium Coklat 240G,Rp 47.900,minuman-susu,https://assets.klikindomaret.com/products/10020147/10020147_thumb.jpg
