title,normal_price,label,image_url
Bonteh Minuman Teh Manis 330mL,34%,minuman-teh,https://assets.klikindomaret.com/products/20129849/20129849_thumb.jpg
Cap Botol Teh Bubuk Biru 80G,25%,minuman-teh,https://assets.klikindomaret.com/products/10003061/10003061_thumb.jpg
Kepala Djenggot Teh Celup 25'S Green Tea 60G,24%,minuman-teh,https://assets.klikindomaret.com/products/10038107/10038107_thumb.jpg
Sosro Teh Botol (Kotak) 1L,18%,minuman-teh,https://assets.klikindomaret.com/products/20019631/20019631_thumb.jpg
Teh Gelas Minuman Teh Alami 350Ml,15%,minuman-teh,https://assets.klikindomaret.com/products/20053867/20053867_thumb.jpg
Indomaret Minuman Lemon Tea 330Ml,9%,minuman-teh,https://assets.klikindomaret.com/products/20077509/20077509_thumb.jpg
Indomaret Minuman Teh Hijau Melati 330mL,9%,minuman-teh,https://assets.klikindomaret.com/products/20060210/20060210_thumb.jpg
Garantea Minuman Teh Hijau Apel 350mL,8%,minuman-teh,https://assets.klikindomaret.com/products/20129112/20129112_thumb.jpg
Cap Botol Teh Celup Hijau 25X2g,Rp 9.200,minuman-teh,https://assets.klikindomaret.com/products/20035976/20035976_thumb.jpg
Delmonte Boba Milk Tea Taro 240mL,Rp 10.500,minuman-teh,https://assets.klikindomaret.com/products/20104971/20104971_thumb.jpg
Frestea Minuman Teh Apel 350Ml,Rp 4.600,minuman-teh,https://assets.klikindomaret.com/products/20072801/20072801_thumb.jpg
Frestea Minuman Teh Apel 500Ml,Rp 6.400,minuman-teh,https://assets.klikindomaret.com/products/20012574/20012574_thumb.jpg
Frestea Minuman Teh Aroma Melati 500Ml,Rp 6.400,minuman-teh,https://assets.klikindomaret.com/products/20012573/20012573_thumb.jpg
Frestea Minuman Teh Green Madu 500Ml,Rp 6.400,minuman-teh,https://assets.klikindomaret.com/products/20036765/20036765_thumb.jpg
Frestea Minuman Teh Markisa 350Ml,Rp 4.600,minuman-teh,https://assets.klikindomaret.com/products/20072802/20072802_thumb.webp
Ichi Ocha Minuman Green Tea 350Ml,Rp 3.200,minuman-teh,https://assets.klikindomaret.com/products/20048934/20048934_thumb.jpg
Ichi Ocha Minuman Teh Madu Lemon 350mL,Rp 3.800,minuman-teh,https://assets.klikindomaret.com/products/20123862/20123862_thumb.jpg
Ichi Ocha Minuman Teh Melati 350Ml,Rp 3.200,minuman-teh,https://assets.klikindomaret.com/products/20060207/20060207_thumb.jpg
Ichitan Thai Milk Green Tea Drink 300mL,Rp 9.100,minuman-teh,https://assets.klikindomaret.com/products/20101102/20101102_thumb.jpg
Ichitan Thai Milk Tea Drink 300mL,Rp 9.100,minuman-teh,https://assets.klikindomaret.com/products/20085054/20085054_thumb.jpg
Indomaret Minuman Teh Apel 350Ml,Rp 4.200,minuman-teh,https://assets.klikindomaret.com/products/20101897/20101897_thumb.jpg
Indomaret Minuman Teh Blackcurrant 350mL,Rp 4.200,minuman-teh,https://assets.klikindomaret.com/products/20132840/20132840_thumb.jpg
Javana Minuman Teh Melati 350mL,Rp 3.200,minuman-teh,https://assets.klikindomaret.com/products/20055829/20055829_thumb.jpg
Javana Minuman Teh Melati Gula Batu 350Ml,Rp 3.200,minuman-teh,https://assets.klikindomaret.com/products/20095747/20095747_thumb.jpg
Max Tea Instant Drink Lemon Tea 5X25g,Rp 8.200,minuman-teh,https://assets.klikindomaret.com/products/20010085/20010085_thumb.jpg
Max Tea Instant Drink Tarik 5X25g,Rp 13.500,minuman-teh,https://assets.klikindomaret.com/products/20021935/20021935_thumb.jpg
Nu Minuman Choco Tea Hazeltea 330mL,Rp 8.300,minuman-teh,https://assets.klikindomaret.com/products/20128233/20128233_thumb.jpg
Nu Minuman Green Tea Honey 330Ml,Rp 4.900,minuman-teh,https://assets.klikindomaret.com/products/20018904/20018904_thumb.jpg
Nu Minuman Green Tea Honey 450mL,Rp 7.000,minuman-teh,https://assets.klikindomaret.com/products/20003786/20003786_thumb.jpg
Nu Minuman Green Tea Original 330Ml,Rp 4.900,minuman-teh,https://assets.klikindomaret.com/products/20018905/20018905_thumb.jpg
Nu Minuman Green Tea Original 450Ml,Rp 7.000,minuman-teh,https://assets.klikindomaret.com/products/20003784/20003784_thumb.jpg
Nu Minuman Milk Tea 330Ml,Rp 8.100,minuman-teh,https://assets.klikindomaret.com/products/20040383/20040383_thumb.jpg
Nu Minuman Teh Tarik 330Ml,Rp 8.100,minuman-teh,https://assets.klikindomaret.com/products/20069527/20069527_thumb.jpg
Nu Minuman Yogurt Tea 450Ml,Rp 7.000,minuman-teh,https://assets.klikindomaret.com/products/20113059/20113059_thumb.jpg
Panda Liang Teh 310mL,Rp 7.500,minuman-teh,https://assets.klikindomaret.com/products/20026791/20026791_thumb.jpg
Panda Minuman Sarang Burung 310mL,Rp 7.500,minuman-teh,https://assets.klikindomaret.com/products/20088273/20088273_thumb.jpg
Poci Teh Celup Jasmine 25x2G,Rp 9.000,minuman-teh,https://assets.klikindomaret.com/products/20113053/20113053_thumb.jpg
Poci Teh Celup Vanilla 25X2g,Rp 6.900,minuman-teh,https://assets.klikindomaret.com/products/10022742/10022742_thumb.jpg
Pokka Drink Green Tea Jasmine 300mL,Rp 9.100,minuman-teh,https://assets.klikindomaret.com/products/10005475/10005475_thumb.jpg
Pokka Drink Green Tea Jasmine 450Ml,Rp 6.600,minuman-teh,https://assets.klikindomaret.com/products/20080088/20080088_thumb.jpg
Pokka Drink Green Tea No Sugar 450mL,Rp 9.800,minuman-teh,https://assets.klikindomaret.com/products/20120415/20120415_thumb.jpg
Pokka Minuman Teh Lychee 450Ml,Rp 6.000,minuman-teh,https://assets.klikindomaret.com/products/20113062/20113062_thumb.jpg
Pokka Oolong Tea Drink 300mL,Rp 10.000,minuman-teh,https://assets.klikindomaret.com/products/10036644/10036644_thumb.jpg
Pucuk Harum Minuman Teh Less Sugar 350Ml,Rp 3.800,minuman-teh,https://assets.klikindomaret.com/products/20048155/20048155_thumb.jpg
Pucuk Harum Minuman Teh Melati 1.3L,Rp 13.000,minuman-teh,https://assets.klikindomaret.com/products/20076052/20076052_thumb.jpg
Pucuk Harum Minuman Teh Melati 350Ml,Rp 3.800,minuman-teh,https://assets.klikindomaret.com/products/20035484/20035484_thumb.jpg
Pucuk Harum Minuman Teh Melati 500Ml,Rp 6.700,minuman-teh,https://assets.klikindomaret.com/products/20037565/20037565_thumb.jpg
Pucuk Harum Minuman Teh Melati 6X250mL,Rp 20.500,minuman-teh,https://assets.klikindomaret.com/products/20097234/20097234_thumb.jpg
Sariwangi Teh Celup Asli 30X1.85G,Rp 9.400,minuman-teh,https://assets.klikindomaret.com/products/20102392/20102392_thumb.jpg
Sariwangi Teh Celup Asli 50X1.9G,Rp 13.000,minuman-teh,https://assets.klikindomaret.com/products/10010220/10010220_thumb.jpg
Sariwangi Teh Celup Sari Murni 25X1.6G,Rp 7.200,minuman-teh,https://assets.klikindomaret.com/products/20044352/20044352_thumb.jpg
Sariwangi Teh Melati 25 Teh Celup,Rp 9.600,minuman-teh,https://assets.klikindomaret.com/products/20073986/20073986_thumb.jpg
Sosro Fruit Tea Apel 500Ml,Rp 6.900,minuman-teh,https://assets.klikindomaret.com/products/20002203/20002203_thumb.jpg
Sosro Fruit Tea Apple 350Ml,Rp 3.900,minuman-teh,https://assets.klikindomaret.com/products/20066455/20066455_thumb.jpg
