title,normal_price,label,image_url
Sari Roti Roti Manis Klasik Bantal Sweet Cheese 87G,Rp 8.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20136106/20136106_thumb.webp
Sari Roti Sandroll Zuperr Creamy (Choco) Choco Berry 50G,Rp 5.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20136101/20136101_thumb.jpg
Mr.Bread Roti Tawar Kupas 15'S,5%,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20135734/20135734_thumb.webp
Mr.Bread Roti Tawar Tebal 4'S,15%,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20135659/20135659_thumb.webp
Prime Bread Roti Manis Pandan Isi Krim Gula Aren,Rp 3.500,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20135611/20135611_thumb.jpg
Prime Bread Roti Manis Isi Krim Sarikaya,Rp 3.500,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20134980/20134980_thumb.jpg
Mr.Bread Roti Isi Daging Ayam,Rp 12.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20134627/20134627_thumb.jpg
Prime Bread Duo Mentega Gula & Selai Stroberi,Rp 4.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20134563/20134563_thumb.jpg
Prime Bread Roti Manis Isi Krim Cokelat Kacang 50G,Rp 3.500,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20134325/20134325_thumb.jpg
Prime Bread Roti Manis Isi Krim Ubi Ungu 50G,Rp 3.500,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20134324/20134324_thumb.jpg
Mr.Bread Roti Sandwich Choco Orange,Rp 5.500,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20129485/20129485_thumb.jpg
Prime Bread Roti Manis Isi Krim Cocopandan 50G,Rp 3.500,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20132629/20132629_thumb.jpg
Arnon Steam Red Velvet Cake 65G,29%,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20133369/20133369_thumb.jpg
Sari Roti Dorayaki Strawberry 50g,Rp 6.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20133258/20133258_thumb.jpg
Prime Bread Roti Manis Isi Krim Leci Stroberi 50G,Rp 3.500,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20132610/20132610_thumb.jpg
Arnon Roti Sisir Keju 35G,Rp 4.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20132973/20132973_thumb.jpg
Arnon Steam Cheese Cake 60G,29%,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20132974/20132974_thumb.jpg
Sari Roti Bolu Kukus (Sari Kue) Vanila 80G,Rp 8.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20132622/20132622_thumb.jpg
Sari Roti Sandwich Zuperr Krim Mocha,Rp 5.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20132618/20132618_thumb.jpg
Sari Roti Roti Tawar Jumbo Milky Soft,20%,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20132623/20132623_thumb.webp
Sari Roti Sandwich Zuperr Krim Sweet,Rp 5.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20132619/20132619_thumb.jpg
Sari Roti Sandwich Zuperr Krim Choco,Rp 5.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20132616/20132616_thumb.jpg
Mr.Bread Roti Manis Isi Keju Susu,Rp 8.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20129486/20129486_thumb.jpg
Sari Roti Dorayaki Cheese Hokkaido 55g,Rp 6.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20130214/20130214_thumb.jpg
Sari Roti Dorayaki Choco Peanut 55g,Rp 6.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20130215/20130215_thumb.jpg
Arnon Roti Sisir Cokelat 55G,Rp 7.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20129036/20129036_thumb.webp
Sharon Roti Manis Peanut Cream Messes 200G,Rp 16.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20120839/20120839_thumb.jpg
Sharon Roti Roll Wool Bread 70G,Rp 7.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20120820/20120820_thumb.jpg
Sari Roti Lapis Surabaya Premium Original 48G,Rp 12.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20127599/20127599_thumb.jpg
Mr.Bread Roti Sandwich Klasik Margarin,Rp 5.500,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20127597/20127597_thumb.jpg
Mr.Bread Roti Manis Sobek Soft Cheese,Rp 12.500,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20127047/20127047_thumb.jpg
Sari Kue International Cake Brownies 54G,Rp 14.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20126867/20126867_thumb.jpg
Sari Kue International Cake Triple Choco 54G,Rp 16.500,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20126870/20126870_thumb.jpg
Sari Kue International Cake Tiramisu 54G,Rp 15.500,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20126869/20126869_thumb.jpg
Louis Dessert Christmas Brownie Persegi 22CM,Rp 430.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20126842/20126842_thumb.jpg
Louis Dessert Christmas Brownie Round 15CM,Rp 285.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20126838/20126838_thumb.jpg
Louis Dessert Christmas Brownie Round 22CM,Rp 380.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20126840/20126840_thumb.jpg
La Mere Sponge Cake Special Imlek 15X20CM,Rp 300.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20126852/20126852_thumb.jpg
La Mere Manna Cake,Rp 50.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20126854/20126854_thumb.jpg
La Mere Bolu Gulung Cheese 10X30cm,Rp 175.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20126850/20126850_thumb.jpg
La Mere Bolu Pelangi 20cm,Rp 200.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20126849/20126849_thumb.jpg
La Mere Mini Sponge Lemon 9's,Rp 175.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20126851/20126851_thumb.jpg
Louis Dessert Merry Round 1 Flavour,Rp 425.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20126843/20126843_thumb.jpg
La Mere Cup Cake Christmas,Rp 150.000,product-segar-aneka-roti,https://assets.klikindomaret.com/products/20126853/20126853_thumb.jpg
