title,normal_price,label,image_url
Anggur Muscat Hijau Import,Rp 34.900,product-segar-buah-dan-dessert,https://assets.klikindomaret.com/products/20130892/20130892_thumb.jpg
Apel Fuji Sun Sweet,44%,product-segar-buah-dan-dessert,https://assets.klikindomaret.com/products/20068532/20068532_thumb.jpg
Apel Merah Manis,Rp 7.500,product-segar-buah-dan-dessert,https://assets.klikindomaret.com/products/20081467/20081467_thumb.jpg
Bengkoang 1Kg,Rp 17.500,product-segar-buah-dan-dessert,https://assets.klikindomaret.com/products/20108449/20108449_thumb.jpg
Dapur Sus & Cake Kue Nampan Mika 40's,Rp 102.000,product-segar-buah-dan-dessert,https://assets.klikindomaret.com/products/20117537/20117537_thumb.jpg
Dapur Sus & Cake Kue Nampan Mika 70's,Rp 140.000,product-segar-buah-dan-dessert,https://assets.klikindomaret.com/products/20117538/20117538_thumb.jpg
Dapur Sus & Cake Kue Sus Klasik 15's,Rp 70.000,product-segar-buah-dan-dessert,https://assets.klikindomaret.com/products/20117499/20117499_thumb.jpg
Dapur Sus & Cake Kue Tampah 100's,Rp 185.000,product-segar-buah-dan-dessert,https://assets.klikindomaret.com/products/20117539/20117539_thumb.jpg
Date Crown Kurma Premium Emirates 250G,Rp 23.900,product-segar-buah-dan-dessert,https://assets.klikindomaret.com/products/20046368/20046368_thumb.jpg
Durianpapi Durian Mothong Premium Sulawesi 500g,Rp 135.000,product-segar-buah-dan-dessert,https://assets.klikindomaret.com/products/20104273/20104273_thumb.jpg
Durianpapi Durian Musangking Malay 400g,Rp 385.000,product-segar-buah-dan-dessert,https://assets.klikindomaret.com/products/20104276/20104276_thumb.jpg
Durianpapi Musangking Hampers 2's,Rp 899.000,product-segar-buah-dan-dessert,https://assets.klikindomaret.com/products/20111550/20111550_thumb.jpg
Durianpapi Musangking Hampers 3's,Rp 1.239.000,product-segar-buah-dan-dessert,https://assets.klikindomaret.com/products/20111551/20111551_thumb.jpg
Gunung Segar Bengkoang (Bgr) 1kg,Rp 18.900,product-segar-buah-dan-dessert,https://assets.klikindomaret.com/products/20116439/20116439_thumb.jpg
Gunung Segar Jeruk Bali,Rp 27.000,product-segar-buah-dan-dessert,https://assets.klikindomaret.com/products/20116456/20116456_thumb.jpg
Gunung Segar Jeruk Siem (Bgr) 1kg,Rp 21.500,product-segar-buah-dan-dessert,https://assets.klikindomaret.com/products/20116442/20116442_thumb.jpg
Gunung Segar Kedondong 1Kg,Rp 32.500,product-segar-buah-dan-dessert,https://assets.klikindomaret.com/products/20116443/20116443_thumb.jpg
Gunung Segar Manggis Manis (Bgr) 1kg,Rp 30.000,product-segar-buah-dan-dessert,https://assets.klikindomaret.com/products/20116436/20116436_thumb.jpg
Gunung Segar Pisang Ambon (Bgr),Rp 39.900,product-segar-buah-dan-dessert,https://assets.klikindomaret.com/products/20116452/20116452_thumb.jpg
Gunung Segar Semangka Kunig Tb (Bgr),Rp 45.000,product-segar-buah-dan-dessert,https://assets.klikindomaret.com/products/20116449/20116449_thumb.jpg
Gunung Segar Semangka Merah Oval,Rp 39.900,product-segar-buah-dan-dessert,https://assets.klikindomaret.com/products/20116454/20116454_thumb.jpg
Hijra Kurma Tunisia 500G,Rp 57.000,product-segar-buah-dan-dessert,https://assets.klikindomaret.com/products/20016388/20016388_thumb.jpg
Indomaret Nata De Coco Selasih Leci 200G,Rp 5.200,product-segar-buah-dan-dessert,https://assets.klikindomaret.com/products/20103576/20103576_thumb.jpg
