title,normal_price,label,image_url
Agung Berkah Beef Slice 500G,30%,product-segar-makanan-beku,https://assets.klikindomaret.com/products/20110073/20110073_thumb.jpg
Alice Spring Ayam Dada Fillet 500g,30%,product-segar-makanan-beku,https://assets.klikindomaret.com/products/20103764/20103764_thumb.jpg
Alice Spring Ayam Paha Fillet 500g,30%,product-segar-makanan-beku,https://assets.klikindomaret.com/products/20103765/20103765_thumb.jpg
Alice Spring Ayam Utuh Broiler 1Kg,30%,product-segar-makanan-beku,https://assets.klikindomaret.com/products/20103763/20103763_thumb.jpg
Alice Spring Cumi Ring 500g,30%,product-segar-makanan-beku,https://assets.klikindomaret.com/products/20103770/20103770_thumb.jpg
Alice Spring Dory Fillet 1Kg,30%,product-segar-makanan-beku,https://assets.klikindomaret.com/products/20103766/20103766_thumb.jpg
Alice Spring Salmon Fillet 500g,30%,product-segar-makanan-beku,https://assets.klikindomaret.com/products/20103767/20103767_thumb.jpg
Alice Spring Tuna Steak Potong 500g,30%,product-segar-makanan-beku,https://assets.klikindomaret.com/products/20103768/20103768_thumb.jpg
Bandeng Lelaki Ikan Bandeng Isi Jengkol Balado 150g,30%,product-segar-makanan-beku,https://assets.klikindomaret.com/products/20114125/20114125_thumb.jpg
Bandeng Lelaki Ikan Bandeng Isi Mayonaise 150g,30%,product-segar-makanan-beku,https://assets.klikindomaret.com/products/20114123/20114123_thumb.jpg
Bandeng Lelaki Ikan Bandeng Isi Original 150g,30%,product-segar-makanan-beku,https://assets.klikindomaret.com/products/20114118/20114118_thumb.jpg
Bandeng Lelaki Ikan Bandeng Isi Sambal Gr.Pete 150g,30%,product-segar-makanan-beku,https://assets.klikindomaret.com/products/20114124/20114124_thumb.jpg
Borneofood Bakso Daging Sapi Premium 120G,30%,product-segar-makanan-beku,https://assets.klikindomaret.com/products/20110091/20110091_thumb.jpg
Cedea Baso Ikan Besar 500G,30%,product-segar-makanan-beku,https://assets.klikindomaret.com/products/20107763/20107763_thumb.jpg
