title,normal_price,label,image_url
So Nice Sosis Siap Makan Teman Mie Rasa Ayam Bawang 80G,Rp 5.000,product-segar-makanan-siap-saji,https://assets.klikindomaret.com/products/20129035/20129035_thumb.jpg
Kanzler Singles Sosis Gochujang 60G,Rp 8.900,product-segar-makanan-siap-saji,https://assets.klikindomaret.com/products/20126489/20126489_thumb.jpg
So Nice Sosis Siap Makan Premium Smoked Bratwurst 60G,Rp 8.600,product-segar-makanan-siap-saji,https://assets.klikindomaret.com/products/20124746/20124746_thumb.jpg
So Nice Sosis Siap Makan Premium Keju 60G,Rp 8.600,product-segar-makanan-siap-saji,https://assets.klikindomaret.com/products/20124745/20124745_thumb.jpg
Sireng Nasi Isi Mozarella 10's,Rp 35.400,product-segar-makanan-siap-saji,https://assets.klikindomaret.com/products/20117850/20117850_thumb.jpg
Sireng Nasi Isi Daging Sapi Asap 10's,Rp 35.400,product-segar-makanan-siap-saji,https://assets.klikindomaret.com/products/20117853/20117853_thumb.jpg
Sireng Nasi Isi Ikan Tuna 10's,Rp 35.400,product-segar-makanan-siap-saji,https://assets.klikindomaret.com/products/20117851/20117851_thumb.jpg
Majestyk Risol Medan Kota,Rp 4.500,product-segar-makanan-siap-saji,https://assets.klikindomaret.com/products/20116319/20116319_thumb.jpg
Kuwe Kuwe Lemper Bakar 8's,Rp 39.900,product-segar-makanan-siap-saji,https://assets.klikindomaret.com/products/20115561/20115561_thumb.jpg
Kimbo Probites Korean 60G,Rp 8.900,product-segar-makanan-siap-saji,https://assets.klikindomaret.com/products/20114657/20114657_thumb.jpg
Kimbo Probites Original 60G,Rp 8.900,product-segar-makanan-siap-saji,https://assets.klikindomaret.com/products/20114582/20114582_thumb.jpg
Bandeng Juwana Bandeng (Presto) Sby 300G,Rp 59.000,product-segar-makanan-siap-saji,https://assets.klikindomaret.com/products/20113584/20113584_thumb.jpg
Mom Yuly Risol Sayur 5'S,Rp 37.000,product-segar-makanan-siap-saji,https://assets.klikindomaret.com/products/20111012/20111012_thumb.jpg
Mom Yuly Risol Mayonaise 5'S,Rp 37.000,product-segar-makanan-siap-saji,https://assets.klikindomaret.com/products/20111011/20111011_thumb.jpg
Mom Yuly Kroket Ayam 5'S,Rp 37.000,product-segar-makanan-siap-saji,https://assets.klikindomaret.com/products/20111013/20111013_thumb.jpg
Adaa Bakery Jajanan Nusantara Risols Rogut Cheesee 6'S,Rp 20.000,product-segar-makanan-siap-saji,https://assets.klikindomaret.com/products/20110849/20110849_thumb.jpg
Adaa Bakery Jajanan Nusantara Lemper Ayam 5'S,Rp 20.000,product-segar-makanan-siap-saji,https://assets.klikindomaret.com/products/20110850/20110850_thumb.jpg
Kanzler Singles Sosis Hot 65G,Rp 8.900,product-segar-makanan-siap-saji,https://assets.klikindomaret.com/products/20106308/20106308_thumb.jpg
Kanzler Singles Sosis Keju 60G,Rp 8.900,product-segar-makanan-siap-saji,https://assets.klikindomaret.com/products/20088730/20088730_thumb.jpg
Kanzler Singles Sosis Original 65G,Rp 8.900,product-segar-makanan-siap-saji,https://assets.klikindomaret.com/products/20088719/20088719_thumb.jpg
Kanzler Singles Sosis Mini 65G,Rp 8.900,product-segar-makanan-siap-saji,https://assets.klikindomaret.com/products/20088731/20088731_thumb.jpg
