title,normal_price,label,image_url
Kin Bulgarian Yogurt Smooth & Creamy Black 45G,Rp 3.500,product-segar-olahan-susu-telur,https://assets.klikindomaret.com/products/20133218/20133218_thumb.jpg
Kin Bulgarian Yogurt Slurp Marshmallow 45G,Rp 3.500,product-segar-olahan-susu-telur,https://assets.klikindomaret.com/products/20135664/20135664_thumb.jpg
Cimory Yoghurt Squeeze Bites Strawberry Mango 120G,Rp 8.500,product-segar-olahan-susu-telur,https://assets.klikindomaret.com/products/20135436/20135436_thumb.webp
Cimory Yoghurt Squeeze Bites Blueberry 120G,Rp 8.500,product-segar-olahan-susu-telur,https://assets.klikindomaret.com/products/20135255/20135255_thumb.webp
Cimory Yogurt Squeeze Bites Strawberry 120g,Rp 8.500,product-segar-olahan-susu-telur,https://assets.klikindomaret.com/products/20135254/20135254_thumb.jpg
Amani Yoghurt Drink Strawberry 250mL,8%,product-segar-olahan-susu-telur,https://assets.klikindomaret.com/products/20134629/20134629_thumb.jpg
Amani Yoghurt Drink Guava Yuzu 250mL,8%,product-segar-olahan-susu-telur,https://assets.klikindomaret.com/products/20134630/20134630_thumb.jpg
Amani Yoghurt Drink Purpleberry Pride 250mL,8%,product-segar-olahan-susu-telur,https://assets.klikindomaret.com/products/20134632/20134632_thumb.jpg
Kin Bulgarian Yogurt Mang-Go 200G,21%,product-segar-olahan-susu-telur,https://assets.klikindomaret.com/products/20133220/20133220_thumb.jpg
Cimory Yoghurt Thick & Creamy Mango Sticky Rice 40G,Rp 3.000,product-segar-olahan-susu-telur,https://assets.klikindomaret.com/products/20134040/20134040_thumb.jpg
Cimory Yoghurt Thick & Creamy Blueberry 40G,Rp 3.000,product-segar-olahan-susu-telur,https://assets.klikindomaret.com/products/20131933/20131933_thumb.jpg
Cimory Yoghurt Thick & Creamy Original 40G,Rp 3.000,product-segar-olahan-susu-telur,https://assets.klikindomaret.com/products/20133604/20133604_thumb.jpg
Yobick Minuman Prebiotik Yoghurt Sakura 180mL,Rp 12.500,product-segar-olahan-susu-telur,https://assets.klikindomaret.com/products/20133429/20133429_thumb.webp
Biokul To Go! Yogurt Lychee 80G,Rp 8.000,product-segar-olahan-susu-telur,https://assets.klikindomaret.com/products/20131857/20131857_thumb.jpg
Biokul To Go! Yogurt Strawberry 80G,Rp 8.000,product-segar-olahan-susu-telur,https://assets.klikindomaret.com/products/20131858/20131858_thumb.jpg
Amani Yogurt Sip Strawberry Banana 120G,11%,product-segar-olahan-susu-telur,https://assets.klikindomaret.com/products/20131372/20131372_thumb.jpg
Amani Yogurt Sip Mixed Berry 120G,11%,product-segar-olahan-susu-telur,https://assets.klikindomaret.com/products/20131371/20131371_thumb.jpg
Cimory Yogurt Thick & Creamy Strawberry 40G,Rp 3.000,product-segar-olahan-susu-telur,https://assets.klikindomaret.com/products/20129787/20129787_thumb.jpg
