title,normal_price,label,image_url
Hetty Liuw Pitsay Sayur,Rp 8.000,product-segar-sayur,https://assets.klikindomaret.com/products/20113615/20113615_thumb.jpg
Hetty Liuw Pakis Sayur,Rp 4.000,product-segar-sayur,https://assets.klikindomaret.com/products/20113619/20113619_thumb.jpg
Family Garden Kale Nero 200G,Rp 15.500,product-segar-sayur,https://assets.klikindomaret.com/products/20110730/20110730_thumb.jpg
Family Garden Sawi Dakota 200G,Rp 7.500,product-segar-sayur,https://assets.klikindomaret.com/products/20110736/20110736_thumb.jpg
Family Garden Seledri 200G,Rp 20.500,product-segar-sayur,https://assets.klikindomaret.com/products/20110731/20110731_thumb.jpg
Gofresh Selada Iceberg Hidroponik 200G,Rp 13.000,product-segar-sayur,https://assets.klikindomaret.com/products/20110294/20110294_thumb.jpg
Gofresh Kailan Hidroponik 200G,Rp 13.000,product-segar-sayur,https://assets.klikindomaret.com/products/20110303/20110303_thumb.jpg
Gofresh Samhong / Sawi Keriting Hidroponik 200G,Rp 13.000,product-segar-sayur,https://assets.klikindomaret.com/products/20110296/20110296_thumb.jpg
Gofresh Selada Keriting Hidroponik 200G,Rp 13.000,product-segar-sayur,https://assets.klikindomaret.com/products/20110293/20110293_thumb.jpg
Gofresh Kale Hidroponik 200G,Rp 13.000,product-segar-sayur,https://assets.klikindomaret.com/products/20110299/20110299_thumb.jpg
Gofresh Pakcoy Hidroponik 200G,Rp 13.000,product-segar-sayur,https://assets.klikindomaret.com/products/20110295/20110295_thumb.jpg
Dayday Fresh Paprika Merah 500G,Rp 33.000,product-segar-sayur,https://assets.klikindomaret.com/products/20108199/20108199_thumb.jpg
Dayday Fresh Kabocha Orange,Rp 31.000,product-segar-sayur,https://assets.klikindomaret.com/products/20108211/20108211_thumb.jpg
Dayday Fresh Temulawak 200G,Rp 6.000,product-segar-sayur,https://assets.klikindomaret.com/products/20108155/20108155_thumb.jpg
Dayday Fresh Lengkuas 200G,Rp 4.000,product-segar-sayur,https://assets.klikindomaret.com/products/20108152/20108152_thumb.jpg
Dayday Fresh Paprika Mix 500G,Rp 41.500,product-segar-sayur,https://assets.klikindomaret.com/products/20108202/20108202_thumb.jpg
Dayday Fresh Kunyit 200G,Rp 4.000,product-segar-sayur,https://assets.klikindomaret.com/products/20108154/20108154_thumb.jpg
Dayday Fresh Timun Lokal 500G,Rp 6.000,product-segar-sayur,https://assets.klikindomaret.com/products/20108161/20108161_thumb.jpg
